CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
IBT,0.7144547898526313,0.0157479847469638,0.6138461362040049,0.5226230106463278,0.0036176133924499423,0.19342928926482533
IDB,0.03145171866243751,0.05462396786353767,0.036531159296619084,0.018752314079516347,0.03374805978502711,0.00863168353232413
IDX,0.13344668119568256,0.012391547297031177,0.08377911813464142,0.027393753647951997,0.001068650977544314,0.012279125193813056
IDA,0.16489840418118692,0.011915957997308371,0.1203102774312605,0.04614606772746835,0.001013825841020366,0.020911049590144948
LTE,0.34982557304740985,0.016994141759710788,0.27905712112762904,0.26521638642728773,0.004948515742152253,0.09775331491952494
LCN,0.16214747155594836,0.017138530028477983,0.036435366557671524,0.1273683795159628,0.002745796932919364,0.04068685248275824
LAC,0.1541402133506846,0.016807309731471272,0.03490101528591021,0.11922266232461773,0.0026674425283520512,0.037794404516493754
TLA,0.16112442380853303,0.015802356154149193,0.034992302196394744,0.12195828790795951,0.0025872243627290403,0.03888874505610515
LDC,0.1344683129009806,0.011051837069761952,0.07937737156542797,0.019783794748437854,0.0008713729840680789,0.009790275663416337
LMY,0.7056219106040879,0.01598193454853851,0.6110798295354197,0.5113422016470374,0.0036168631245091566,0.19004440278072093
LIC,0.07779911000165049,0.05462396786353767,0.04880386037834509,0.01094377108947371,0.03374805978502711,0.007569493868107556
LMC,0.16972298319253804,0.02402850471580143,0.2743957729906564,0.14143720302913287,0.0043415729455936235,0.06729863267171789
MEA,0.09519423492135393,0.010820565104350218,0.02353272894339963,0.07199864087386953,0.004661722555207461,0.014728978593039725
MNA,0.07435659782272877,0.011039507656800965,0.02229125445660082,0.05322860030035513,0.003868498009260768,0.013007381494295468
TMN,0.0743252449964039,0.01104656464979266,0.02229125445660082,0.052540740418546124,0.0038698212602849627,0.013007381494295468
MIC,0.6282792571589985,0.01696232433897673,0.5622759691570746,0.5018628355542907,0.003974610435462685,0.18247466804860563
NAC,0.15773298905830435,0.0244429254421183,0.01750088438647478,0.25586208177896724,0.004620833822556352,0.04149537137508896
INX,0.03855609279622606,0.05462396786353767,0.027947405456061523,0.03395709864256635,0.03374805978502711,0.011813568901392742
OED,0.29117347991430764,0.022266881988169583,0.08580481594263066,0.4990797881792727,0.008196833670333777,0.1494832135204534
OSS,0.012213139578014938,0.014334968563509649,0.002213270729547971,0.004585129408115428,0.0020432116518046485,0.0008950211035471119
PSS,0.0005658490320664068,0.04332957713283868,0.00024978657351210754,0.0006877186168010443,0.009548858647214272,7.558262900883784e-05
PST,0.2670780023904625,0.02209530826910352,0.07832381871289944,0.46113999955057977,0.008545047352494492,0.1428684377828064
PRE,0.1363090264837243,0.007938201665908045,0.05868071307430428,0.022776826812718486,0.0009502486326479541,0.01045946242497256
SST,0.01629633699921578,0.02696769372669602,0.003413353430514256,0.00784684005198808,0.004523267036969803,0.0013877444368683664
SAS,0.035041988211685464,0.03022442167770982,0.17105075545083476,0.07541421067995883,0.005237085813474751,0.0330189512653022
TSA,0.035041988211685464,0.03022442167770982,0.17105075545083476,0.07541421067995883,0.005237085813474751,0.0330189512653022
SSF,0.15484402249132195,0.0057201387580230545,0.07071619009070994,0.038711199176514076,0.0005463453632379614,0.013133512042623929
SSA,0.1548423411355327,0.005713769832804644,0.07070655476316443,0.038677443336154374,0.0005439010144283385,0.013128312359817195
TSS,0.15484402249132195,0.0057201387580230545,0.07071619009070994,0.038711199176514076,0.0005463453632379614,0.013133512042623929
UMC,0.4585562696433945,0.01448177669697501,0.28788019616641825,0.3604256325251592,0.0038457900628333804,0.11517579451287997
WLD,1.0,0.018014165471904233,0.6870152768295246,1.0,0.005094260451252993,0.33281863095237596
