CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
ARB,0.11850189509066372,0.009107598408234654,0.018748085491246215,0.05324828703445749,0.003629240148546173,0.007186505196961664
CSS,0.003517339743000787,0.06754951868799978,0.0008472683372902638,0.0025739920270716064,0.012208720740989002,0.00032912154647394713
CEB,0.007419198775810835,0.022207559823131193,0.014963562486587504,0.019588030585955683,0.008360142446689952,0.010101383561870621
EAR,0.24435815601011365,0.01823679829524385,0.22259210679100805,0.2468605840649938,0.0036478435991075648,0.055802374601722333
EAS,0.1976697805795439,0.022843237262917596,0.2359056707687702,0.19331157498332074,0.009800892235592738,0.057553047959218
EAP,0.12356175844687464,0.029482848546719984,0.21962983065900038,0.14045178218188603,0.011597689276286285,0.037636445651890144
TEA,0.12249834947510103,0.029468050086362926,0.2176134253662294,0.13978249872119378,0.011662325439352176,0.03649427349335181
EMU,0.019455655492251835,0.03418235710010138,0.02967697877124043,0.10764776856892572,0.03978131360693897,0.0409225853422145
ECS,0.19736948724344194,0.01999372213297502,0.08769186062019005,0.2373339129914057,0.006487633543896738,0.09164185928997365
ECA,0.16413545090087642,0.01409466252275707,0.045373166013421846,0.08581190782079369,0.0009049062441971649,0.03087594569966676
TEC,0.16662073925425186,0.014141628790227739,0.049929289942178684,0.0942160737421568,0.0010577385529763614,0.034400498296082195
EUU,0.03071695349015172,0.03292870841498016,0.04685866446341597,0.15096840460184416,0.033059008822495003,0.0622434580887907
FCS,0.10977956009884927,0.01032675245410733,0.02947985843786211,0.023278842517374485,0.001357711187901218,0.00518772701266672
HPC,0.12413925735861352,0.007751036518151698,0.04206514093290616,0.018300096611890557,0.0006434927215939386,0.0049439694087374305
HIC,0.29392162419321827,0.022790616262676755,0.07896123221241756,0.48719339335623285,0.008558015732233233,0.11828270655008853
IBD,0.5495563813483777,0.01684500846944737,0.4191407177132454,0.4764769429188608,0.004363019648416878,0.12382979099160561
IBT,0.7144547898526313,0.0157479847469638,0.5162978187462307,0.5226230106463278,0.0036176133924499423,0.13679624174495322
IDB,0.03145171866243751,0.05462396786353767,0.029532395459579943,0.018752314079516347,0.03374805978502711,0.005733754792472715
IDX,0.13344668119568256,0.012391547297031177,0.06762470557340534,0.027393753647951997,0.001068650977544314,0.007232214232859375
IDA,0.16489840418118692,0.011915957997308371,0.09715710103298529,0.04614606772746835,0.001013825841020366,0.012966209889339851
LTE,0.34982557304740985,0.016994141759710788,0.2394624941084294,0.26521638642728773,0.004948515742152253,0.07142210603910358
LCN,0.16214747155594836,0.017138530028477983,0.032985516890170125,0.1273683795159628,0.002745796932919364,0.02697202211017665
LAC,0.1541402133506846,0.016807309731471272,0.0314115176911532,0.11922266232461773,0.0026674425283520512,0.02478533101462211
TLA,0.16112442380853303,0.015802356154149193,0.03164300717298212,0.12195828790795951,0.0025872243627290403,0.025600915168409375
LDC,0.1344683129009806,0.011051837069761952,0.06421367128893626,0.019783794748437854,0.0008713729840680789,0.00573155548059978
LMY,0.7056219106040879,0.01598193454853851,0.5135177128489067,0.5113422016470374,0.0036168631245091566,0.1335954116165367
LIC,0.07779911000165049,0.05462396786353767,0.040250493380546204,0.01094377108947371,0.03374805978502711,0.004528176052988019
LMC,0.16972298319253804,0.02402850471580143,0.22585031433692515,0.14143720302913287,0.0043415729455936235,0.04694066321053816
MEA,0.09519423492135393,0.010820565104350218,0.02024071308055869,0.07199864087386953,0.004661722555207461,0.009157696754652169
MNA,0.07435659782272877,0.011039507656800965,0.019084132142847016,0.05322860030035513,0.003868498009260768,0.008231350169485287
TMN,0.0743252449964039,0.01104656464979266,0.019084132142847016,0.052540740418546124,0.0038698212602849627,0.008231350169485287
MIC,0.6282792571589985,0.01696232433897673,0.4732672194683604,0.5018628355542907,0.003974610435462685,0.12906699469954094
NAC,0.15773298905830435,0.0244429254421183,0.017627219579641695,0.25586208177896724,0.004620833822556352,0.03448428743498023
INX,0.03855609279622606,0.05462396786353767,0.023891984463820792,0.03395709864256635,0.03374805978502711,0.008774755087165527
OED,0.29117347991430764,0.022266881988169583,0.08735346591066105,0.4990797881792727,0.008196833670333777,0.12232265870874565
OSS,0.012213139578014938,0.014334968563509649,0.001975285219635005,0.004585129408115428,0.0020432116518046485,0.0006207606803255946
PSS,0.0005658490320664068,0.04332957713283868,0.00019810392743945776,0.0006877186168010443,0.009548858647214272,4.800990795536146e-05
PST,0.2670780023904625,0.02209530826910352,0.08210322283916739,0.46113999955057977,0.008545047352494492,0.11829810843766114
PRE,0.1363090264837243,0.007938201665908045,0.048215981194979635,0.022776826812718486,0.0009502486326479541,0.006257960293175489
SST,0.01629633699921578,0.02696769372669602,0.0030206574843647267,0.00784684005198808,0.004523267036969803,0.0009983738627704268
SAS,0.035041988211685464,0.03022442167770982,0.1404754133745067,0.07541421067995883,0.005237085813474751,0.023763441126978417
TSA,0.035041988211685464,0.03022442167770982,0.1404754133745067,0.07541421067995883,0.005237085813474751,0.023763441126978417
SSF,0.15484402249132195,0.0057201387580230545,0.05755255074748679,0.038711199176514076,0.0005463453632379614,0.008304559170607326
SSA,0.1548423411355327,0.005713769832804644,0.057543652967977525,0.038677443336154374,0.0005439010144283385,0.008301693633855191
TSS,0.15484402249132195,0.0057201387580230545,0.05755255074748679,0.038711199176514076,0.0005463453632379614,0.008304559170607326
UMC,0.4585562696433945,0.01448177669697501,0.2474169051314353,0.3604256325251592,0.0038457900628333804,0.08212609062499501
WLD,1.0,0.018014165471904233,0.5924789450613243,1.0,0.005094260451252993,0.251878359030633
AFG,0.03855609279622606,0.05462396786353767,0.0024359031445192365,0.03395709864256635,0.03374805978502711,0.0001834092509412709
ALB,0.0002387087943119564,0.08276789578335479,0.000328892730668436,0.00046548869922236855,0.01320140521778227,0.00012242149092233875
DZA,0.020445407058886877,0.0002967081548484671,0.00228070061623289,0.00831997781511694,0.000381956508668514,0.0008425852573707745
ASM,7.796385991784023e-07,0.039430689367554624,1.994919928436717e-06,3.200795746257422e-05,0.061018548552842784,3.0495369889926456e-06
AND,0.03855609279622606,0.05462396786353767,1.6438470631838788e-06,0.03395709864256635,0.03374805978502711,1.7056648137277489e-06
AGO,0.011165155203394422,0.002202269757441308,0.001491120336145601,0.0003931955884396753,0.0001912539593202951,0.00014598246052282553
ATG,1.4971882538476418e-06,0.1352831886945971,9.851871648952341e-06,7.33686009028263e-05,0.25398270128768474,5.208373776086699e-06
ARG,0.024064505551451856,0.015137412473126565,0.0016052491093126522,0.015163259674126177,0.00258168223914096,0.0037686369807923684
ARM,0.03855609279622606,0.05462396786353767,0.0002694012210072338,0.03395709864256635,0.03374805978502711,0.00023837714896002808
ABW,7.625653607140287e-08,0.0426779700361383,7.872587738884027e-06,4.7625483533486e-05,0.20830323123055888,6.594210917652365e-06
AUS,0.06835392987089456,0.010484860450058068,0.000559996032345588,0.010124701661540423,0.0009999930885005181,0.0020802056143498626
AUT,0.03855609279622606,0.05462396786353767,0.0007335275143902776,0.03395709864256635,0.03374805978502711,0.001132358067632383
AZE,0.03855609279622606,0.05462396786353767,0.0005440048108429286,0.03395709864256635,0.03374805978502711,0.0005091572114260922
BHS,0.00010953204685421163,0.9423026277021724,1.3018312878161345e-05,0.00011734905688884097,0.042468830238920556,1.599908132381607e-05
BHR,1.0256453694354866e-06,0.22993323627801435,8.472066782744338e-06,0.00015134491765877916,0.9403675330207572,3.296112205185928e-05
BGD,0.0011081906381305259,0.16309185342169763,0.013489662126972947,0.003065427008412449,0.028549896183264326,0.000614348979764339
BRB,1.2812932647144256e-07,0.004489618120717867,4.3074870451236285e-05,0.00011582784988995813,0.020672073308921315,2.0848890535770744e-05
BLR,0.0017716082625121893,0.0,0.0016349274522527407,0.0021444922169747698,0.0,0.0006593376584594551
BEL,0.00016182796946533464,0.05029082078167292,0.00020361429632785482,0.003402636059863753,0.21719445891973502,0.00210131399239915
BLZ,0.00019048918818382598,0.10261687907326898,1.248639323442112e-05,0.00013998698136781555,0.01755361366134458,1.2110245008808022e-05
BEN,0.0010189849753856938,0.016381235431610085,0.0006508386438930832,0.0003987490914070358,0.004085833496156528,5.576200430414099e-05
BMU,1.9948048932143025e-07,0.1335962914568653,0.0,1.0639810085305888e-05,0.19955249542011166,1.0784251399067715e-05
