CountryCode,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.KD.ZG,AG.LND.ARBL.ZS,ER.FSH.CAPT.MT,AG.PRD.CREL.MT,AG.YLD.CREL.KG,AG.PRD.CROP.XD,TX.VAL.FOOD.ZS.UN,TM.VAL.FOOD.ZS.UN,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,AG.LND.EL5M.ZS,AG.LND.CREL.HA,ER.FSH.PROD.MT
ARB,0.0539557274284096,0.3850718454465066,0.43494816770961386,0.05832575413998311,0.02755294412070861,0.019426691797625094,0.02411006600229814,0.20038030981126245,0.025347142869182784,0.24979614949431111,0.09845062421863347,0.029058701401365617,0.010447454202374383,0.04100993544192523,0.018292840457835077
CSS,0.0539557274284096,0.06527717200976767,0.41901097914539204,0.02524413253850378,0.005485624906909602,0.0003409902163654157,0.0540139701794022,0.1866116859745122,0.11212566075048314,0.30670914446547287,0.09002289347869372,0.8619390537817109,0.07158158328336953,0.00032750394380190906,0.002635887542711097
CEB,0.0539557274284096,0.5270379867469529,0.4425786723136164,0.46563692746471,0.007087708932204302,0.03172108422966911,0.0536416761056351,0.18330871715993663,0.08122517453799699,0.13172071456877565,0.08792385356336407,0.34120794467870813,0.025359039980778226,0.030674593818348785,0.003857193424653379
EAR,0.0539557274284096,0.4557898904306927,0.4143443172574238,0.17921731242702835,0.3435769533865538,0.27337700013179755,0.04143925973731778,0.2251691218840903,0.10454289959306381,0.16790981254468632,0.1081899257872853,0.22467288067742047,0.019530889553451825,0.3406333767414448,0.25869408708482766
EAS,0.0539557274284096,0.537312408736554,0.4177676243858294,0.13138944301106692,0.42400752150091015,0.2937356503690766,0.06319594350202772,0.22573188283227344,0.05328796105314736,0.10562511410302215,0.10619441577931461,0.2648530219473737,0.026348623858628246,0.2416737421043233,0.5503668098129386
EAP,0.0539557274284096,0.52689339120982,0.41980446149911016,0.15420526096482648,0.3466136544754153,0.2724284212197758,0.06726965585487736,0.2281063707921767,0.06501938514378648,0.10123150652505496,0.10825092378915903,0.2995922371578875,0.03353735656292698,0.21073941711503477,0.49896601355472125
TEA,0.0539557274284096,0.5290825827806325,0.41980496536551953,0.15332845912632054,0.34426148355278335,0.2707630587584477,0.06744125975737202,0.22847329159219892,0.06501938514378648,0.10125010308131983,0.10840098627019124,0.29834010916834713,0.03354694008991044,0.20892487947668423,0.49530278591200816
EMU,0.0539557274284096,0.4909540828465635,0.4002714245252225,0.33512016273061157,0.03602835983949866,0.06398114790182771,0.07398083805647511,0.1802038315966335,0.09401270419647534,0.16809824796824707,0.08917987955572129,0.3834139654577233,0.05082057751711279,0.04505438181084848,0.02162344124598238
ECS,0.0539557274284096,0.32280014579116567,0.4281659621758345,0.16806015421909815,0.1523001607421503,0.19276610830308308,0.04753949692171213,0.1963300404470621,0.08435088235319495,0.1636593885506108,0.09493928942501148,0.383802228034767,0.022982133147320522,0.2099112837616335,0.08656437492876
ECA,0.0539557274284096,0.30755923454290596,0.4577147949505956,0.14485014597579016,0.05425872023282876,0.09848176833222873,0.036197429608669396,0.21737780477941893,0.059955065268796744,0.16863901940830114,0.10567412492448519,0.3927682869065034,0.014272682160613066,0.14007000730180202,0.027889666850382137
TEC,0.0539557274284096,0.31054215803950064,0.45425994598758757,0.14956895789290678,0.056351374504708,0.10788660516132045,0.0368553202720856,0.21422504169450404,0.06810413032205068,0.16341699988721406,0.10377128080215939,0.39164769147575584,0.014380997116164057,0.1507695470065561,0.029027865090950268
EUU,0.0539557274284096,0.48549300504562753,0.4081387892744154,0.35105317680121867,0.05494488590648934,0.10464969960313643,0.06836408678155469,0.1812145430397947,0.09029238739271495,0.16496738560227056,0.08915436746293881,0.38048266841772255,0.0465691058752434,0.07967246633603998,0.03230370089338031
FCS,0.0539557274284096,0.3373552471116866,0.40889574653510247,0.08406254765099054,0.04106436457225121,0.025247487410778056,0.019149901504195033,0.21248758938719217,0.07906085721012265,0.2705736251624779,0.10366071868947131,0.2517435270223222,0.010830524306903391,0.06651437784107263,0.02388293298626421
HPC,0.0539557274284096,0.4090453440717472,0.410007489555776,0.1124161415001706,0.042104246582495626,0.03363682774747972,0.015831996933014035,0.2308827051414142,0.30732622990362124,0.3022731210214253,0.1108167008173136,0.28755189602150555,0.008066906139840008,0.10623798353118709,0.021070979700743477
HIC,0.0539557274284096,0.39963258714324285,0.39055086333098976,0.13870143256816064,0.2815894158716494,0.27326702685320636,0.07088613297847209,0.18399269534557228,0.07690842471917818,0.13813713753765106,0.09153725216562449,0.2902896022582808,0.026356835820645186,0.20073121486429088,0.16833184642793111
IBD,0.0539557274284096,0.39945158468727543,0.424307622719779,0.15453643434741654,0.6288139714539139,0.5548329367364105,0.0489098764300755,0.2273125363464469,0.08934278858327305,0.13154008801527417,0.10775260122904183,0.3426643299374836,0.018318817694110548,0.5875456002907963,0.6629884656162768
IBT,0.0539557274284096,0.41423995593298113,0.421626723088252,0.15124967039320392,0.738161808059944,0.6540408740668845,0.04284992089613069,0.22544904583720238,0.09304136749302745,0.14424253304302545,0.1074730367651634,0.3180775068841715,0.01697722089770063,0.7886418477295102,0.7308590811629752
