CountryCode,EN.CLC.DRSK.XQ,EN.CLC.MDAT.ZS
ARB,0.1904040404040404,0.0
CSS,0.1904040404040404,0.0
CEB,0.1904040404040404,0.0
EAR,0.1904040404040404,0.0
EAS,0.1904040404040404,0.0
EAP,0.1904040404040404,0.0
TEA,0.1904040404040404,0.0
EMU,0.1904040404040404,0.0
ECS,0.1904040404040404,0.0
ECA,0.1904040404040404,0.0
TEC,0.1904040404040404,0.0
EUU,0.1904040404040404,0.0
FCS,0.1904040404040404,0.0
HPC,0.1904040404040404,0.0
HIC,0.1904040404040404,0.0
IBD,0.1904040404040404,0.0
IBT,0.1904040404040404,0.0
IDB,0.1904040404040404,0.0
IDX,0.1904040404040404,0.0
IDA,0.1904040404040404,0.0
LTE,0.1904040404040404,0.0
LCN,0.1904040404040404,0.0
LAC,0.1904040404040404,0.0
TLA,0.1904040404040404,0.0
LDC,0.1904040404040404,0.0
LMY,0.1904040404040404,0.0
LIC,0.1904040404040404,0.0
LMC,0.1904040404040404,0.0
MEA,0.1904040404040404,0.0
MNA,0.1904040404040404,0.0
TMN,0.1904040404040404,0.0
MIC,0.1904040404040404,0.0
NAC,0.1904040404040404,0.0
INX,0.1904040404040404,0.0
OED,0.1904040404040404,0.0
OSS,0.1904040404040404,0.0
PSS,0.1904040404040404,0.0
PST,0.1904040404040404,0.0
PRE,0.1904040404040404,0.0
SST,0.1904040404040404,0.0
SAS,0.1904040404040404,0.0
TSA,0.1904040404040404,0.0
SSF,0.1904040404040404,0.0
SSA,0.1904040404040404,0.0
TSS,0.1904040404040404,0.0
UMC,0.1904040404040404,0.0
WLD,0.1904040404040404,0.0
AFG,0.1904040404040404,0.0
ALB,0.1904040404040404,0.0
DZA,0.6666666666666666,0.0
ASM,0.1904040404040404,0.0
AND,0.1904040404040404,0.0
AGO,0.1904040404040404,0.0
ATG,0.4666666666666667,0.0
ARG,0.6,0.0
ARM,0.5333333333333333,0.0
ABW,0.1904040404040404,0.0
AUS,0.8,0.0
AUT,0.1904040404040404,0.0
AZE,0.1904040404040404,0.0
BHS,0.1904040404040404,0.0
BHR,0.1904040404040404,0.0
BGD,0.8,0.0
BRB,0.8,0.0
BLR,0.1904040404040404,0.0
BEL,0.1904040404040404,0.0
BLZ,0.1904040404040404,0.0
BEN,0.1904040404040404,0.0
BMU,0.1904040404040404,0.0
BTN,0.1904040404040404,0.0
BOL,0.3333333333333333,0.0
BIH,0.1904040404040404,0.0
BWA,0.5333333333333333,0.0
BRA,0.9333333333333333,0.0
VGB,0.1904040404040404,0.0
BRN,0.4666666666666667,0.0
BGR,0.6666666666666666,0.0
BFA,0.1904040404040404,0.0
BDI,0.6,0.0
CPV,0.6666666666666666,0.0
KHM,0.1904040404040404,0.0
CMR,0.1904040404040404,0.0
CAN,0.8666666666666667,0.0
CYM,0.5333333333333333,0.0
CAF,0.1904040404040404,0.0
TCD,0.1904040404040404,0.0
CHI,0.1904040404040404,0.0
CHL,0.4666666666666667,0.0
CHN,0.1904040404040404,0.0
COL,0.7333333333333333,0.0
COM,0.2,0.0
COD,0.1904040404040404,0.0
COG,0.1904040404040404,0.0
CRI,0.9333333333333333,0.0
CIV,0.4,0.0
HRV,0.1904040404040404,0.0
CUB,0.9333333333333333,0.0
CUW,0.1904040404040404,0.0
CYP,0.1904040404040404,0.0
CZE,0.4666666666666667,0.0
DNK,0.1904040404040404,0.0
DJI,0.1904040404040404,0.0
DMA,0.1904040404040404,0.0
DOM,0.5333333333333333,0.0
ECU,1.0,0.0
EGY,0.1904040404040404,0.0
SLV,0.6,0.0
GNQ,0.1904040404040404,0.0
ERI,0.1904040404040404,0.0
EST,0.1904040404040404,0.0
ETH,0.1904040404040404,0.0
FRO,0.1904040404040404,0.0
FJI,0.4666666666666667,0.0
FIN,0.6666666666666666,0.0
FRA,0.1904040404040404,0.0
PYF,0.1904040404040404,0.0
GAB,0.1904040404040404,0.0
GMB,0.1904040404040404,0.0
GEO,0.4666666666666667,0.0
DEU,0.8666666666666667,0.0
GHA,0.6,0.0
GIB,0.1904040404040404,0.0
GRC,0.1904040404040404,0.0
GRL,0.1904040404040404,0.0
GRD,0.1904040404040404,0.0
GUM,0.1904040404040404,0.0
GTM,0.6,0.0
GIN,0.1904040404040404,0.0
GNB,0.0,0.0
GUY,0.1904040404040404,0.0
HTI,0.1904040404040404,0.0
HND,0.7333333333333333,0.0
HKG,0.1904040404040404,0.0
HUN,0.1904040404040404,0.0
ISL,0.1904040404040404,0.0
IND,0.6,0.0
IDN,0.6,0.0
IRN,0.1904040404040404,0.0
IRQ,0.1904040404040404,0.0
IRL,0.1904040404040404,0.0
IMN,0.1904040404040404,0.0
ISR,0.1904040404040404,0.0
ITA,0.6666666666666666,0.0
JAM,0.7333333333333333,0.0
JPN,0.9333333333333333,0.0
JOR,0.1904040404040404,0.0
KAZ,0.1904040404040404,0.0
KEN,0.8,0.0
KIR,0.1904040404040404,0.0
PRK,0.1904040404040404,0.0
KOR,0.1904040404040404,0.0
XKX,0.1904040404040404,0.0
KWT,0.1904040404040404,0.0
KGZ,0.1904040404040404,0.0
LAO,0.3333333333333333,0.0
LVA,0.1904040404040404,0.0
LBN,0.5333333333333333,0.0
LSO,0.4,0.0
LBR,0.1904040404040404,0.0
LBY,0.1904040404040404,0.0
LIE,0.1904040404040404,0.0
LTU,0.1904040404040404,0.0
LUX,0.1904040404040404,0.0
MAC,0.1904040404040404,0.0
MKD,0.6,0.0
MDG,0.7333333333333333,0.0
MWI,0.2,0.0
MYS,0.7333333333333333,0.0
MDV,0.3333333333333333,0.0
MLI,0.1904040404040404,0.0
MLT,0.1904040404040404,0.0
MHL,0.2,0.0
MRT,0.1904040404040404,0.0
MUS,0.6666666666666666,0.0
MEX,0.8666666666666667,0.0
FSM,0.1904040404040404,0.0
MDA,0.1904040404040404,0.0
MCO,0.1904040404040404,0.0
MNG,0.4666666666666667,0.0
MNE,0.1904040404040404,0.0
MAR,0.5333333333333333,0.0
MOZ,0.8,0.0
MMR,0.1904040404040404,0.0
NAM,0.1904040404040404,0.0
NRU,0.1904040404040404,0.0
NPL,0.4666666666666667,0.0
NLD,0.1904040404040404,0.0
NCL,0.1904040404040404,0.0
NZL,0.7333333333333333,0.0
NIC,0.7333333333333333,0.0
NER,0.1904040404040404,0.0
NGA,0.8,0.0
MNP,0.1904040404040404,0.0
NOR,0.7333333333333333,0.0
OMN,0.1904040404040404,0.0
PAK,0.6666666666666666,0.0
PLW,0.1904040404040404,0.0
PAN,0.5333333333333333,0.0
PNG,0.1904040404040404,0.0
PRY,0.7333333333333333,0.0
PER,0.5333333333333333,0.0
PHL,0.1904040404040404,0.0
POL,0.6,0.0
PRT,0.1904040404040404,0.0
PRI,0.1904040404040404,0.0
QAT,0.1904040404040404,0.0
ROU,0.6,0.0
RUS,0.1904040404040404,0.0
RWA,0.1904040404040404,0.0
WSM,0.6666666666666666,0.0
SMR,0.1904040404040404,0.0
STP,0.1904040404040404,0.0
SAU,0.1904040404040404,0.0
SEN,0.4666666666666667,0.0
SRB,0.1904040404040404,0.0
SYC,0.1904040404040404,0.0
SLE,0.5333333333333333,0.0
SGP,0.1904040404040404,0.0
SXM,0.1904040404040404,0.0
SVK,0.1904040404040404,0.0
SVN,0.1904040404040404,0.0
SLB,0.26666666666666666,0.0
SOM,0.1904040404040404,0.0
ZAF,0.1904040404040404,0.0
SSD,0.1904040404040404,0.0
ESP,0.1904040404040404,0.0
LKA,0.6666666666666666,0.0
KNA,0.6666666666666666,0.0
LCA,0.6,0.0
MAF,0.1904040404040404,0.0
VCT,0.1904040404040404,0.0
SDN,0.1904040404040404,0.0
SUR,0.1904040404040404,0.0
SWZ,0.1904040404040404,0.0
SWE,0.7333333333333333,0.0
CHE,1.0,0.0
SYR,0.6666666666666666,0.0
TJK,0.1904040404040404,0.0
TZA,0.6666666666666666,0.0
THA,0.7333333333333333,0.0
TLS,0.1904040404040404,0.0
TGO,0.1904040404040404,0.0
TON,0.1904040404040404,0.0
TTO,0.1904040404040404,0.0
TUN,0.1904040404040404,0.0
TUR,0.1904040404040404,0.0
TKM,0.1904040404040404,0.0
TCA,0.3333333333333333,0.0
TUV,0.1904040404040404,0.0
UGA,0.1904040404040404,0.0
UKR,0.1904040404040404,0.0
ARE,0.1904040404040404,0.0
GBR,0.1904040404040404,0.0
USA,0.6666666666666666,0.0
URY,0.1904040404040404,0.0
UZB,0.1904040404040404,0.0
VUT,0.26666666666666666,0.0
VEN,0.4666666666666667,0.0
VNM,0.1904040404040404,0.0
VIR,0.1904040404040404,0.0
PSE,0.1904040404040404,0.0
YEM,0.3333333333333333,0.0
ZMB,0.7333333333333333,0.0
ZWE,0.1904040404040404,0.0
