CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
CMR,0.005918506715228773,0.012918379330593071,0.005982053838484546,0.0325451647183847,0.10838709677419354
CAN,0.0034145231049396768,0.004110393423370522,0.006979062811565304,0.0006641870350690755,0.10635944700460828
CYM,0.00022763487366264513,0.0002935995302407516,0.010967098703888336,0.001461211477151966,0.13050691244239632
CAF,0.0031868882312770315,0.004110393423370522,0.0,0.001594048884165781,0.32534562211981566
TCD,0.0029592533576143867,0.004110393423370522,0.0,0.00039851222104144525,0.2152995391705069
CHI,0.03980419951851773,0.0420492357515259,0.02567111434553914,0.041331302531156536,0.14904349978940365
CHL,0.007511950830867289,0.005578391074574281,0.03290129611166501,0.004782146652497344,0.2975115207373272
CHN,0.020259503755975416,0.02172636523781562,0.0039880358923230315,0.038124335812964934,0.24995391705069125
COL,0.027088549965854768,0.015854374633000587,0.023928215353938184,0.017069606801275238,0.360184331797235
COM,0.0022763487366264513,0.001467997651203758,0.0,0.0004649309245483528,0.0
COD,0.008422490325517869,0.010569583088667059,0.03788634097706879,0.007505313496280553,0.1863594470046083
COG,0.0011381743683132257,0.0049911920140927775,0.0,0.0029888416578108395,0.03096774193548387
CRI,0.005235602094240838,0.002935995302407516,0.11864406779661017,0.009298618490967057,0.3664516129032258
CIV,0.004552697473252903,0.008807985907222548,0.0009970089730807579,0.007438894792773645,0.4169585253456221
HRV,0.0034145231049396768,0.0026423957721667646,0.013958125623130608,0.0005313496280552603,0.14267281105990784
CUB,0.003869792852264967,0.0035231943628890195,0.01296111665004985,0.01188894792773645,0.07852534562211981
CUW,0.00022763487366264513,0.0008807985907222549,0.02567111434553914,0.00013283740701381508,0.14904349978940365
CYP,0.0015934441156385158,0.0017615971814445098,0.0,0.001195536663124336,0.008847926267281106
CZE,0.0022763487366264513,0.0008807985907222549,0.0,0.0006641870350690755,0.24055299539170508
DNK,0.0015934441156385158,0.0005871990604815032,0.19641076769690927,6.641870350690754e-05,0.19410138248847925
DJI,0.002503983610289096,0.002348796241926013,0.0,0.00019925611052072262,0.0
DMA,0.0009105394946505805,0.0008807985907222549,0.0009970089730807579,0.000730605738575983,0.39410138248847926
DOM,0.0031868882312770315,0.0017615971814445098,0.11864406779661017,0.002789585547290117,0.368294930875576
ECU,0.02230821761893922,0.013211978860833822,0.744765702891326,0.12327311370882041,0.40626728110599075
EGY,0.0031868882312770315,0.005578391074574281,0.015952143569292126,0.00019925611052072262,0.007004608294930876
SLV,0.0013658092419758707,0.0017615971814445098,0.0,0.0019261424017003189,0.0
GNQ,0.0015934441156385158,0.007046388725778039,0.0,0.005844845908607864,0.13253456221198157
ERI,0.004097427725927612,0.0032295948326482677,0.0,0.00026567481402763017,0.08976958525345623
