CountryCode,SH.DTH.COMM.ZS,SH.MLR.INCD.P3,SH.TBS.INCD,SP.DYN.LE00.IN
ARB,0.39319215004496777,0.05543812200639853,0.09804244066047473,0.4372571087095848
CSS,0.2170020241750697,0.05543812200639853,0.09804244066047473,0.67114720764113
CEB,0.029336878905757036,0.05543812200639853,0.09804244066047473,0.737684451630993
EAR,0.517158640738222,0.0480590299080942,0.09804244066047473,0.41200416285350894
EAS,0.18614415757151484,0.013059228208989433,0.12925696594427244,0.5687820246065245
EAP,0.19460047273021808,0.01310262960148478,0.14009287925696595,0.5419225112150804
TEA,0.19116178210240517,0.013114180892408041,0.09804244066047473,0.5417132638876211
EMU,0.04509361013628672,0.05543812200639853,0.09804244066047473,0.7679507470430205
ECS,0.06049227998439626,0.05543812200639853,0.05108359133126935,0.7294507873728427
ECA,0.06634871384678452,0.05543812200639853,0.09752321981424149,0.6759061267600622
TEC,0.06362477493138594,0.05543812200639853,0.09804244066047473,0.6824956788657529
EUU,0.05278460835625715,0.05543812200639853,0.09804244066047473,0.7651303579676041
FCS,0.7707429028685007,0.1832465795593584,0.09804244066047473,0.3307138391448984
HPC,0.865565873848858,0.2341813456358122,0.09804244066047473,0.2817551288746982
HIC,0.06745999203371497,0.05543812200639853,0.01393188854489164,0.757570676884999
IBD,0.2874341850131071,0.02036216355785072,0.09804244066047473,0.5181690252308155
IBT,0.4437060117964529,0.09127259627822172,0.09804244066047473,0.4861377874604961
IDB,0.8095583113882954,0.17129229964488568,0.09804244066047473,0.3808502168992229
IDX,0.8001719262855665,0.20999985113273809,0.09804244066047473,0.30940840118793383
IDA,0.8034282402082555,0.1958480094875405,0.09804244066047473,0.33243001593182403
LTE,0.11481093157377806,0.0039892254953976395,0.09804244066047473,0.5840472928734348
LCN,0.23204658629055228,0.022211636073628947,0.04256965944272446,0.5778699019616309
LAC,0.23706784416112778,0.022211636073628947,0.04411764705882353,0.5726934666702455
TLA,0.23567314760873032,0.022211636073628947,0.09804244066047473,0.5704160126065598
LDC,0.8154689144991096,0.20443094532869038,0.09804244066047473,0.2912731340486223
LMY,0.44736270085205937,0.09095181958018725,0.1586687306501548,0.4835919609810038
LIC,0.8657400690091535,0.23377369065191383,0.23916408668730652,0.27736497622483675
LMC,0.5614418702290388,0.07457829854680643,0.21594427244582043,0.40963283761594554
MEA,0.24731449176158324,0.05543812200639853,0.03560371517027864,0.4453307792836579
MNA,0.2550720502828813,0.05543812200639853,0.03869969040247678,0.4352318230977068
TMN,0.2550720502828813,0.05543812200639853,0.09804244066047473,0.4352318230977068
MIC,0.3788786459684942,0.05762157105250259,0.15092879256965944,0.4989326778457772
NAC,0.05892810096574825,0.05543812200639853,0.005108359133126935,0.7648958776640843
INX,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.5160130242233517
OED,0.07548689402607225,0.05543812200639853,0.09804244066047473,0.7386716196803907
OSS,0.6501802409618426,0.05543812200639853,0.09804244066047473,0.4847751153857214
PSS,0.25683730402336774,0.05543812200639853,0.09804244066047473,0.537227044893193
PST,0.06262756271442206,0.05543812200639853,0.09804244066047473,0.7621356505178922
PRE,0.8911888669141277,0.23238834530099425,0.09804244066047473,0.27399483290860277
SST,0.5618907103314129,0.05543812200639853,0.09804244066047473,0.5408839124687094
SAS,0.5593163869694723,0.025009469731567664,0.21284829721362228,0.3603715375288777
TSA,0.5593163869694723,0.025009469731567664,0.09804244066047473,0.3603715375288777
SSF,0.8870824131843535,0.2426828527304216,0.26625386996904027,0.2960739971055058
SSA,0.8871261382721083,0.2426828527304216,0.26625386996904027,0.2960739971055058
TSS,0.8870824131843535,0.2426828527304216,0.09804244066047473,0.2960739971055076
UMC,0.13907050333976387,0.005168398573170321,0.08591331269349846,0.5738069693596386
WLD,0.3828729229255303,0.09082386633409419,0.13312693498452013,0.5466721656822714
AFG,0.7509677419354839,0.06151636990235496,0.14705882352941177,0.15871950414606464
ALB,0.07741935483870968,0.05543812200639853,0.01780185758513932,0.6932128094449692
DZA,0.24645161290322581,2.1680794652102813e-05,0.05727554179566564,0.3998059619464552
ASM,0.3237034303778456,0.05543812200639853,0.0046439628482972135,0.5160130242233517
AND,0.3237034303778456,0.05543812200639853,0.016253869969040248,0.5160130242233517
AGO,0.9187096774193547,0.18127512923607123,0.22987616099071206,0.16405015827603744
ATG,0.1664516129032258,0.05543812200639853,0.00456656346749226,0.6683937980295944
ARG,0.13161290322580643,0.0014359563469270534,0.02863777089783282,0.6871682091642217
ARM,0.04774193548387096,0.05543812200639853,0.04721362229102167,0.7461263568212266
ABW,0.3237034303778456,0.05543812200639853,0.009287925696594427,0.7313025915166804
AUS,0.03870967741935485,0.05543812200639853,0.004876160990712074,0.7654805526245186
AUT,0.0167741935483871,0.05543812200639853,0.013157894736842105,0.7459559587973272
AZE,0.22838709677419358,0.010281447443997702,0.5270897832817337,0.6208876917409166
BHS,0.30838709677419357,0.05543812200639853,0.02476780185758514,0.674310276251865
BHR,0.09161290322580645,0.05543812200639853,0.02786377708978328,0.6360242129121149
BGD,0.6051612903225806,0.007179781734635267,0.17414860681114552,0.34991514609797175
BRB,0.12903225806451613,0.05543812200639853,0.0010061919504643962,0.6648900695482767
BLR,0.009032258064516132,0.05543812200639853,0.06424148606811146,0.7488673923753137
BEL,0.07870967741935483,0.05543812200639853,0.010835913312693499,0.7646566026861634
BLZ,0.23612903225806453,0.011774842044801838,0.037925696594427245,0.6686931808867768
BEN,0.8490322580645161,0.22331993107409534,0.06656346749226007,0.2541337697823488
BMU,0.3237034303778456,0.05543812200639853,0.0,0.7525950109184154
BTN,0.4735483870967742,0.015163699023549684,0.19582043343653252,0.2103949696777786
BOL,0.44,0.013957495692130959,0.14241486068111456,0.31688855796682025
BIH,0.024516129032258062,0.05543812200639853,0.07430340557275542,0.6778174558324007
BWA,0.9987096774193547,0.02527283170591614,0.7074303405572755,0.4723191645579023
BRA,0.20903225806451617,0.03595634692705342,0.039473684210526314,0.5556619165161852
VGB,0.3237034303778456,0.05543812200639853,0.004334365325077399,0.5160130242233517
BRN,0.11096774193548387,0.05543812200639853,0.08281733746130031,0.6937895744018164
BGR,0.023225806451612905,0.05543812200639853,0.04489164086687306,0.769686579796747
BFA,0.9574193548387095,0.3570361860999426,0.05417956656346749,0.20088589716932242
BDI,0.8606451612903224,0.24055140723722,0.22445820433436534,0.28374980911107467
CPV,0.3741935483870968,0.004939689833429063,0.1238390092879257,0.45701483368721457
KHM,0.7212903225806452,0.11889718552556003,0.44504643962848295,0.24464885496841776
CMR,0.8658064516129031,0.26484778862722574,0.23916408668730652,0.3243407753412061
CAN,0.04,0.05543812200639853,0.005030959752321981,0.7952290278857455
CYM,0.3237034303778456,0.05543812200639853,0.010835913312693499,0.5160130242233517
CAF,0.9341935483870967,0.2513497989661114,0.8304953560371517,0.2510907630466641
TCD,0.921290322580645,0.13871338311315337,0.11687306501547988,0.2399514775449923
CHI,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.7782241678752706
CHL,0.12258064516129032,0.05543812200639853,0.01780185758513932,0.6106370642879394
CHN,0.10064516129032257,5.743825387708214e-05,0.08436532507739938,0.5541658650050775
COL,0.15225806451612903,0.03388856978747846,0.02786377708978328,0.586041080159544
COM,0.712258064516129,0.16128661688684665,0.03018575851393189,0.3164679552495969
COD,0.9019354838709677,0.29207352096496264,0.2530959752321981,0.28482870900417684
COG,0.8219354838709677,0.20884549109707065,0.2755417956656347,0.4531306215170867
CRI,0.09935483870967741,0.0016657093624353819,0.014705882352941176,0.6849004055904365
CIV,0.8554838709677419,0.3017805858701895,0.28405572755417957,0.2830690797902759
HRV,0.025806451612903226,0.05543812200639853,0.032507739938080496,0.7156380521650911
CUB,0.09806451612903225,0.05543812200639853,0.009287925696594427,0.7453981748861784
CUW,0.3237034303778456,0.05543812200639853,0.003018575851393189,0.8796429147638886
CYP,0.03096774193548387,0.05543812200639853,0.0030959752321981426,0.7920893903719511
CZE,0.021935483870967745,0.05543812200639853,0.01238390092879257,0.7375654738229807
DNK,0.03096774193548387,0.05543812200639853,0.010061919504643963,0.8066003998098439
DJI,0.7574193548387097,0.032912119471568066,0.531733746130031,0.37844840304697536
DMA,0.3237034303778456,0.05543812200639853,0.007739938080495356,0.5160130242233517
DOM,0.3638709677419355,0.0004595060310166571,0.07739938080495357,0.5447685218338112
ECU,0.28258064516129033,0.016771970132107985,0.07662538699690402,0.5311573865170729
EGY,0.2103225806451613,0.05543812200639853,0.020123839009287926,0.4312683393569403
SLV,0.2206451612903226,0.0008041355542791499,0.021671826625386997,0.48215954259130994
GNQ,0.7290322580645161,0.2094198736358415,0.07430340557275542,0.21210412656561248
ERI,0.432258064516129,0.013325674899483055,0.1369969040247678,0.27252165780453136
EST,0.021935483870967745,0.05543812200639853,0.04721362229102167,0.7463532665948263
ETH,0.8761290322580644,0.38041355542791494,0.3258513931888545,0.2687599596566494
FRO,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.8556146364568953
FJI,0.16774193548387098,0.05543812200639853,0.017027863777089782,0.5689387265961546
FIN,0.07096774193548387,0.05543812200639853,0.009287925696594427,0.750640825986088
FRA,0.06580645161290322,0.05543812200639853,0.009287925696594427,0.7768001580603451
PYF,0.3237034303778456,0.05543812200639853,0.02321981424148607,0.5755536210227157
GAB,0.7200000000000001,0.2060310166570936,0.39860681114551083,0.3345702648114703
GMB,0.7961290322580645,0.19333716255025848,0.14318885448916407,0.17919616997008833
GEO,0.04516129032258065,0.006490522688110282,0.19659442724458204,0.6972212611869535
DEU,0.03354838709677419,0.05543812200639853,0.010061919504643963,0.7587815376545127
GHA,0.7806451612903226,0.2803561171740379,0.16718266253869968,0.3819659359251664
GIB,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.5160130242233517
GRC,0.03354838709677419,0.05543812200639853,0.005727554179566564,0.7634482865723777
GRL,0.3237034303778456,0.05543812200639853,0.14396284829721362,0.6316124139489984
