CountryCode,EG.USE.ELEC.KH.PC,EG.ELC.HYRO.ZS,EG.ELC.NUCL.ZS,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.COMM.FO.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS
ARB,0.04520693828960865,0.0293713818858021,0.0,0.9587951068549719,0.006751414794237836,0.09104370430362589,0.970444917785439,0.0336583671450003,0.0426287663934835
CSS,0.052507487207029954,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.2596294762929694,0.9691362001344621,0.09354746480412039,0.08694146618337766
CEB,0.07489316373408253,0.10674709388779,0.25853209336556215,0.587325600941335,0.1619636595402911,0.08251581062195017,0.7616292901139531,0.205052777670024,0.16561093636287205
EAR,0.020764845833436536,0.144128496403058,0.022466431647386008,0.799796444172045,0.053096480255021276,0.08832589232199521,0.793391359885036,0.179936625586822,0.26264795029379495
EAS,0.06693740320341444,0.149745101937317,0.047700745349281315,0.763675489011191,0.0690309779330714,0.11431134099061803,0.863369947334774,0.192909645015784,0.17277846912383266
EAP,0.05545884132017341,0.18114124676868498,0.025662948147585973,0.75268650843421,0.06670997628030009,0.12720757244563793,0.8533540509130659,0.222984126265053,0.2009413466032461
TEA,0.0560265290971829,0.17963550254114702,0.025733958822696565,0.754011366853095,0.06689456615769977,0.12720757244563793,0.853484780076142,0.22159384828022202,0.20106755097007137
EMU,0.11573905694309086,0.11991940998317499,0.3786814299022441,0.396964788093901,0.2839963769368539,0.06742964534473743,0.6940287280639601,0.292294238421215,0.16314063266072834
ECS,0.09783317030721549,0.166019645505466,0.2813354306817213,0.497918111591738,0.17248435974920365,0.08512144118819744,0.778646946957867,0.271197588499724,0.12785501904640487
ECA,0.07730007544584529,0.17281311681546602,0.189541369002571,0.661173786923286,0.02225985518190333,0.1286230453221338,0.881016198869562,0.186323988888632,0.0654631024238122
TEC,0.07687549669683925,0.16105233398429297,0.17552513607259904,0.676882503491949,0.03418771495012773,0.1231725453955333,0.8825043296217371,0.181802956097079,0.06962518444970953
EUU,0.10762291708899166,0.11869338328719299,0.3488535071680026,0.429283593031361,0.27385690320286005,0.06692986804988339,0.7114504505515551,0.28491394291307,0.1635335054490987
FCS,0.007901387952262485,0.217061374964443,0.0,0.659312888092213,0.0013865086678485805,0.10348582632638895,0.573878725077552,0.254459639088856,0.5325540964391721
HPC,0.0035795153423247615,0.49825745419794004,0.0,0.24252271827883198,0.03808806949119927,0.16482872901927648,0.22082530744982,0.663555859226724,0.7923274141524159
HIC,0.1656332941599456,0.118935479684214,0.2251447345158857,0.607555901781022,0.14131774914565756,0.08629399879008445,0.8133079945042909,0.204996960019613,0.11242670060124023
IBD,0.04364240023426289,0.192946030194182,0.052929926317737436,0.723537252064916,0.06434825335716024,0.1109522727200283,0.841038686872513,0.232235103711304,0.1957598923483782
IBT,0.03555393932170636,0.198684974917991,0.05106002721321468,0.7131380963249021,0.06258849856366891,0.11082686950854438,0.805204989269493,0.239700638565524,0.2477550954321911
IDB,0.007161919601566708,0.269095821283925,0.027050571128776516,0.659031647612547,0.03503239624677457,0.1002037188425866,0.354442584213799,0.30012170452944703,0.6410328832626437
IDX,0.004694686411693935,0.39476475208014,0.0,0.412384917933856,0.019870918202949426,0.12004671212270605,0.322512407525927,0.515849172900532,0.7175092691187556
IDA,0.005660798051660434,0.34035847354494303,0.01179312486973474,0.520312557198291,0.026499986842615675,0.10917993273835153,0.338304702646464,0.417341235903176,0.6800095831433992
LTE,0.06742754823008422,0.210691754095565,0.05052624840976231,0.698530927363327,0.06648427799232581,0.12460803848991353,0.8600139005563641,0.25238407529963597,0.1729775484773847
LCN,0.038628642439178316,0.465156073662613,0.02439819833588211,0.431170050023424,0.1053017587736258,0.07212726124739578,0.735106580449676,0.530074065290244,0.2753585772968426
LAC,0.037347048113232764,0.483172408236821,0.02651868176662458,0.431003102844559,0.10377513405661684,0.0706420811766208,0.729045221369731,0.5463041647661381,0.27738005580762953
TLA,0.03885535612256666,0.47993799115308,0.02517707837546944,0.432299333000744,0.10790763325236805,0.07212726124739578,0.7325850842722921,0.545595681964363,0.278099326965626
LDC,0.003526009072958984,0.38271615665833,0.0,0.41772715848435404,0.005523452855802518,0.11626170311495428,0.27863737119577503,0.513102158765978,0.7514818168406885
LMY,0.03504699086953829,0.199788989811294,0.05197108532100596,0.712196536209718,0.060137207226504744,0.11152211040820532,0.804246020928773,0.239490612003766,0.24882013050768245
LIC,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.17781031694521998,0.7224443434567129,0.820288391432781
LMC,0.01381744222186757,0.15226043417197802,0.06233691278715733,0.747652465020328,0.06637300688543912,0.08694888358655734,0.658532523900148,0.198250806665359,0.4069128175880343
MEA,0.052254178813471996,0.0260827807070859,0.004076868592953167,0.962702004168933,0.0068263365194855185,0.10129667960829215,0.986531230095276,0.0303220114868642,0.01800602390784832
MNA,0.030564759515301763,0.048943387699191404,0.007652860216892085,0.93118434896491,0.00993331691106517,0.09668694860376408,0.977461446978449,0.055332496244605206,0.026718451896297884
TMN,0.030564759515301763,0.0492738929860369,0.007704538510530408,0.937472457835759,0.010000394690298526,0.09668694860376408,0.977461446978449,0.0553580163685766,0.026316073102166354
MIC,0.037371242685123277,0.197947843180153,0.05254416615974619,0.718689714142136,0.06083303980112918,0.11037318980859635,0.817653486276802,0.236365313349693,0.22728077803327948
NAC,0.24149478489718518,0.129371476849187,0.23707641711811328,0.612332259372307,0.10843564014722686,0.10593776764723495,0.818651762853565,0.195244152910582,0.1063429177608082
INX,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.4884525421084378,0.294379186037732,0.29652846596365007
OED,0.1457010291883154,0.130015618749766,0.23087218324136102,0.590592733963348,0.14989338821965476,0.08430463380177651,0.802072795833377,0.220995114182218,0.12065083236396204
OSS,0.04998408513125506,0.129622667388152,0.0,0.7259265330894701,0.09434125478408179,0.11023090288234501,0.816335569363994,0.24970908874525702,0.27539066751185876
PSS,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.06830101996131474,0.0,0.306413489290597,0.37560354206017615
PST,0.1621382795264665,0.127254700142241,0.2522541854404486,0.576519295901286,0.14808449583253513,0.08704370589854622,0.796601324437343,0.21724796322496,0.1183339257645175
PRE,0.004356893506885443,0.32959499668131204,0.0,0.514662779287845,0.03231810509877534,0.11234705280965768,0.31872656313298203,0.41381989938255104,0.7656013985032792
SST,0.04998408513125506,0.116141379012471,0.0,0.688437776761091,0.08046407553212136,0.12814626658053857,0.847957952896525,0.22810958726361702,0.2447458435100039
SAS,0.012685827480505783,0.11634229463472799,0.03504212660543092,0.8003402898703691,0.07536363388679856,0.08929016985049877,0.712535452224841,0.168021086404807,0.3965033821474514
TSA,0.012685827480505783,0.11634229463472799,0.03504212660543092,0.8003402898703691,0.07536363388679856,0.08929016985049877,0.712535452224841,0.168021086404807,0.3965033821474514
SSF,0.00859036738629773,0.211744961277937,0.037115845396591275,0.643193612120135,0.028431377937602025,0.13942387399954917,0.39752509887993703,0.26369789467912097,0.7150918519323118
SSA,0.00859036738629773,0.211917708237206,0.03714612545328883,0.6437183459321879,0.02845457298345751,0.13942387399954917,0.39752509887993703,0.263898849952635,0.7153003478975527
TSS,0.00859036738629773,0.211744961277937,0.037115845396591275,0.643193612120135,0.028431377937602025,0.13942387399954917,0.39752509887993703,0.26369789467912097,0.7150918519323118
UMC,0.06426552096144961,0.21035986254302302,0.04989692308895034,0.710938463904754,0.059339754013283334,0.12049368402092107,0.868650814117623,0.246679006112697,0.15840190170986704
WLD,0.05687365733254398,0.16217886080886298,0.1336165108458581,0.66344708666187,0.09849634081550504,0.10075344777808974,0.8080500085663399,0.22349027025026502,0.1924964268208933
AFG,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.4884525421084378,0.8532354903268851,0.1706234114328535
ALB,0.0419241416978322,1.0,0.0,0.0,0.0,0.056992987226284555,0.614218013942638,1.0,0.39413310102962346
DZA,0.024527546074428218,0.00395379969490365,0.0,0.9960462003050959,0.0,0.07621549610235125,0.999779167201605,0.00395379969490365,0.0007006210806166098
ASM,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.4884525421084378,0.00700882474752302,0.007139947725133912
AND,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.4884525421084378,0.894321766561514,0.20258365459075123
AGO,0.005475683777953462,0.531751054852321,0.0,0.468248945147679,0.0,0.06690238593667458,0.482795515276488,0.531751054852321,0.5174779910799546
ATG,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.05766111840367098,0.0,0.0,0.0
ARG,0.05548611066263665,0.290400679597905,0.05124718098348002,0.643890698003681,0.041124635217812615,0.0840818106047198,0.885425165886609,0.315361744301288,0.10974671377108496
ARM,0.0356528603144841,0.25703225806451596,0.40002176190489697,0.42438709677419406,0.0008503490708094017,0.10158177404568351,0.745618657137382,0.257548387096774,0.07869250263302624
ABW,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.08044727675870116,0.4884525421084378,0.150992799476326,0.07051736533635193
AUS,0.1837189443576416,0.055364477108802095,0.0,0.863211968349364,0.13414948514662764,0.09947382489905159,0.9337903861964589,0.149067122095833,0.09675250867334181
AUT,0.15237345199794614,0.59943329015544,0.0,0.222749352331606,0.2717285912131626,0.06626554158662873,0.6600085846046341,0.811283383391509,0.3645338199206964
AZE,0.03997161312149264,0.0525719831769654,0.0,0.9401892591394371,0.006129679790997015,0.06928930809793378,0.9836599002655559,0.056292461986412204,0.021564204922803382
BHS,0.04998408513125506,0.18064873772913145,0.0469065394402599,0.43209138639889355,0.07025569645426287,0.06366691741099488,0.0,0.0,0.01118741886367773
BHR,0.3573814983318716,0.0,0.0,1.0,0.0,0.1960877197091574,0.999981776811713,0.0,0.0
BGD,0.0054376309029918884,0.010529143164115,0.0,0.986802757632734,0.004395830376565252,0.05639313941780424,0.7376893794500861,0.0131972423672665,0.38186312037243086
