CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
ARB,0.052456746249693056,0.5867293007870138,0.030104983504620035,0.058747630722328706,0.05120022012928577,0.04016945566717833,0.03358187114396422,0.4523844263017543,0.05047445649321009,0.03565900367568757
CSS,0.0017608322436156515,0.6531276895665961,0.030104983504620035,0.002462810489791034,0.0012255227664071007,8.494264968724773e-05,0.03358187114396422,0.1009882068742354,0.0334466436583965,0.0017930508314125309
CEB,0.017609641563636893,0.503099647814629,0.016346943534186593,0.01789800314437916,0.02066832701646855,0.0018959751985339365,0.008776135072176677,0.14476745274134345,0.0022219656311365217,0.018135610577966928
EAR,0.19589340216753828,0.2696156412990979,0.05821791726426221,0.29727645019615057,0.27050729123972045,0.2394777124347925,0.10390688852551011,0.4020547565859188,0.14276745828009088,0.18187037333544845
EAS,0.3949305414674547,0.3570649537821748,0.35218536587938537,0.336281517494512,0.301753020686551,0.1584132205629639,0.29460993735870294,0.3089195010734295,0.44332705057243416,0.35165719816181606
EAP,0.32344160344431844,0.37163091567135,0.27732986983365476,0.3056468249253418,0.2656160331691771,0.12364393685628657,0.12702316404529837,0.33105452866626617,0.3581623266795584,0.2873339545034656
TEA,0.3223195659380585,0.3693222348441928,0.2712046517559901,0.3032765952393773,0.264560233337878,0.12310233114479008,0.1267826351793748,0.3322970238399324,0.3574841166939992,0.28527975446154086
EMU,0.0606431314706374,0.2533527607633262,0.09929458787544707,0.038532832243878413,0.05576558283427385,0.013354102204339599,0.049614992442526,0.082605099624233,0.05545676130583865,0.05903937352220751
ECS,0.172835784096097,0.5201979865899796,0.18519931013854884,0.1787344533535098,0.14530934414478724,0.07184643481234082,0.3719425075353648,0.12153943999411289,0.13725953789147383,0.17558106611309413
ECA,0.08430412533359255,0.6414300995245383,0.05381057311689696,0.11741719348255998,0.06400663103246863,0.054499855051102324,0.3091531382547111,0.16262292182548496,0.08338148849233765,0.08953744180193385
TEC,0.09220087986462076,0.6428162647308232,0.05623202424148977,0.12553681676876424,0.07247962461867605,0.05483369497051325,0.3090815171816843,0.16228670341140242,0.08279551411231183,0.09728329536871325
EUU,0.0897065540037092,0.3127979377910957,0.12979394062230873,0.06388883638572639,0.08430578213918545,0.016976771449763884,0.06837961733979052,0.0910231643354877,0.06177194711028788,0.08784632341362744
FCS,0.011721564027897376,0.2061082063387525,0.030104983504620035,0.06735162741580103,0.115684153517408,0.29323524897037034,0.03358187114396422,0.2901282760935463,0.0334466436583965,0.0656137226396676
HPC,0.005174429748800584,0.15523504775903532,0.030104983504620035,0.08474504643036707,0.1576148769050273,0.4316137916634235,0.03358187114396422,0.2627517320873792,0.0334466436583965,0.08662384754287557
HIC,0.3573515004915965,0.38747433911996365,0.6266735798322157,0.19539498258897278,0.22944181941076,0.1476696401011102,0.40238143778968727,0.10091381819531543,0.44441151467933243,0.3014352652180409
IBD,0.5751388711454969,0.3770763012062359,0.36823957110257993,0.6526029054011213,0.5541675018784559,0.46425799422096414,0.6111195244639434,0.34968253231448687,0.5519194555574252,0.5446490816453857
IBT,0.5972571522673331,0.34608344944744274,0.3867262636780415,0.8146548662370996,0.7729690210201487,0.9197140320509191,0.6563249396956763,0.3452254774266695,0.5853443447748924,0.6608210758039407
IDB,0.012126738927117091,0.36280093727168083,0.030104983504620035,0.04624873823307087,0.03761326373975866,0.027542302973067815,0.03358187114396422,0.32587935108289157,0.01135026584390779,0.02122801985900586
IDX,0.009711433908592595,0.13810221550687515,0.030104983504620035,0.11580322260290828,0.18118825540193453,0.4279137348568858,0.03358187114396422,0.3345915081375634,0.0334466436583965,0.09494391954648129
IDA,0.02190062990866401,0.20887207697524274,0.030104983504620035,0.16205196083597953,0.21880151914169318,0.4554560378299536,0.03358187114396422,0.33169596324795275,0.0334466436583965,0.11617196678202137
LTE,0.41755326077469945,0.44271880173424344,0.3256739820928356,0.4425438253569548,0.34728282213235306,0.33228953847373444,0.5421301206966985,0.30592973714023025,0.4560772133458883,0.40263411237999913
LCN,0.0529224901260431,0.1640684381184162,0.022818920577886582,0.12367796104022774,0.1370827836327043,0.32532930295903295,0.10026072138303302,0.11058893154897065,0.019246368678574707,0.10736603577045371
LAC,0.0482270977399389,0.15766687564082987,0.021320839695398466,0.11673296415613627,0.13142989461119844,0.3250445075547264,0.09334408395843617,0.11029898469802152,0.01869827537313799,0.10313358257353848
TLA,0.05103602750238737,0.16513110907222756,0.022123340617174407,0.12225214565950318,0.13506507401386678,0.3251703902698498,0.09706329351850766,0.11061521725024445,0.01863258020134342,0.10620438207501282
LDC,0.008121167579850663,0.1405973061523117,0.030104983504620035,0.10895733791757625,0.16783980262456974,0.4198291252946279,0.03358187114396422,0.345884484283433,0.0334466436583965,0.09030629383481836
LMY,0.5877241586867693,0.3429966244521575,0.3883577736808109,0.8027953615172394,0.7610043355053486,0.9197843884090847,0.6506218611587726,0.3461569220305534,0.5851746857299532,0.6514732780793245
LIC,0.004390949851266465,0.16780175367404376,0.030104983504620035,0.06498434514007054,0.11113873272254854,0.2687795613829542,0.03358187114396422,0.2675020902299178,0.0334466436583965,0.05774701986514957
LMC,0.11915840403669455,0.22849702169016495,0.030104983504620035,0.25460294587351,0.2547539430870806,0.2871201726200306,0.03358187114396422,0.40819593476798205,0.08250070524415978,0.17012783202075932
MEA,0.07175964463080961,0.7144242499729702,0.030104983504620035,0.05946536646748791,0.030498975136825125,0.0026734091805615014,0.03358187114396422,0.43617773740930216,0.07124900630053572,0.02736847122093236
MNA,0.039239306885934085,0.6322602263741002,0.030104983504620035,0.03867312132916169,0.026356880653127815,0.0014538179732978035,0.03358187114396422,0.4114375179972273,0.039542222126372525,0.01826754479367118
TMN,0.03917037434504053,0.6322602263741002,0.030104983504620035,0.03867312132916169,0.026356880653127815,0.0014538179732978035,0.03358187114396422,0.414855492073094,0.03927699215012345,0.01826754479367118
MIC,0.5831739434302472,0.35602025522008673,0.3777000128757042,0.7383989330601257,0.6507707478026181,0.6510163537449271,0.6383108685270461,0.3552196109536751,0.5785987661353074,0.5942945691795194
NAC,0.16027449622267848,0.40687191663806876,0.3866650390781514,0.07570277519313619,0.10219996793845788,0.09404939002162377,0.13451099842059433,0.037893706602638494,0.2588344695375141,0.13771801126794547
INX,0.03357818568239343,0.255375255449984,0.030104983504620035,0.03970575354082239,0.03972578074386224,0.046786847352324114,0.03358187114396422,0.18252833998499735,0.0334466436583965,0.03608969808606358
OED,0.33588395087609857,0.33487725260861,0.6231998896292823,0.19162749235120466,0.24388895921037637,0.14919935263062176,0.34601165123179795,0.0897793198624385,0.4023860333930774,0.3034137645126056
OSS,0.0059869242949698205,0.6267105252802072,0.030104983504620035,0.00972624380256358,0.003979085165982796,0.016839005418662678,0.03358187114396422,0.2508724128329375,0.0334466436583965,0.007005008909489158
PSS,6.849315763502362e-05,0.015351306048863582,0.030104983504620035,0.000333753340930302,0.0010107408980340785,6.7120870932010316e-06,0.03358187114396422,0.02785585529569607,0.0334466436583965,0.00014302725011647356
PST,0.3130719749438839,0.34013420810995126,0.6063829780787046,0.16880031425051778,0.22136465257563828,0.14479369950285623,0.3449100483620054,0.07391714551933767,0.3897049494896619,0.2839584210709555
PRE,0.012334357180490104,0.24807495766089918,0.030104983504620035,0.08898764744351033,0.1504732341499441,0.3498254496534123,0.03358187114396422,0.26428618296193535,0.0334466436583965,0.07889638337357657
SST,0.007818706230908598,0.6096641562045546,0.030104983504620035,0.012522807633284878,0.006215348830423995,0.016930660155443072,0.03358187114396422,0.2099541288190891,0.0334466436583965,0.008941141744086582
SAS,0.06963339113479362,0.1647145324333826,0.020058984133420936,0.1187044020195971,0.09761974735085342,0.021306843834364757,0.027589514852408823,0.5317630085825263,0.04338856607385828,0.06782534980278214
TSA,0.06963339113479362,0.1647145324333826,0.020058984133420936,0.1187044020195971,0.09761974735085342,0.021306843834364757,0.027589514852408823,0.5317630085825263,0.04338856607385828,0.06782534980278214
SSF,0.0227685251407593,0.25103490603007966,0.030104983504620035,0.10621178522069732,0.17688746104574754,0.3938469538581034,0.03358187114396422,0.24744567724459798,0.0334466436583965,0.08596061241954958
SSA,0.02275487445251906,0.2510388065324336,0.030104983504620035,0.10620877228739883,0.17688029370834124,0.3938469538581034,0.03358187114396422,0.24746178163149024,0.0334466436583965,0.08594360606313954
TSS,0.022768525140759274,0.25103490603007966,0.030104983504620035,0.10621178522069732,0.17688746104574754,0.3938469538581034,0.03358187114396422,0.24744567724459798,0.0334466436583965,0.08596061241954958
UMC,0.46399947397023333,0.4302535458907952,0.32226136763453067,0.48379598718661565,0.3960168047155362,0.3638961811248965,0.5329392750263455,0.2938049834013729,0.4861154985585384,0.42416670978222476
WLD,1.0,0.35283798704053054,1.0,1.0,1.0,1.0,1.0,0.30760411922262904,1.0,1.0
AFG,0.000271334375579338,0.0778860503998963,0.030104983504620035,0.0017173760529769274,0.0010855950169501953,4.5048430683064705e-05,0.03358187114396422,0.3380981639300943,0.0334466436583965,0.00033590667511669553
ALB,0.00015809235495609894,0.22434092679997178,0.0001258471347671818,0.0003299470224819575,0.00036339199335815844,1.9754007919591457e-05,0.0,0.11065085551533285,0.0,0.0001662206302363511
DZA,0.00402333881515361,0.8116991513510613,0.00032959963867595227,0.006055229218086296,0.002023634695095337,0.00013012052038830407,0.0,0.24394213365436979,0.0024356025327117127,0.003296879420237353
ASM,0.03357818568239343,4.080147871818126e-05,0.030104983504620035,1.6365174782430786e-06,7.511115177400706e-06,2.6334374914069584e-17,0.03358187114396422,0.0032445930394468183,0.0334466436583965,1.0705046530601101e-06
AND,1.2683918080559928e-05,0.255375255449984,0.030104983504620035,0.03970575354082239,4.975935766553447e-09,0.046786847352324114,0.03358187114396422,0.051092234642636014,0.0334466436583965,0.03608969808606358
AGO,0.0009618468758850206,0.651274200469904,3.7154868359834624e-05,0.0023676429255925532,0.0011545851838536117,7.061644844273495e-05,0.0,0.25022484188223443,0.0,0.0007782286169726933
ATG,1.4611873628805036e-05,0.027850840727365198,0.030104983504620035,5.399680382852293e-06,8.20021475177533e-06,1.2662610458732479e-06,0.03358187114396422,0.0800346585767916,0.0334466436583965,1.0299283448437321e-05
ARG,0.005645561201984902,0.181562249799675,0.0006064633351637522,0.011040141895377963,0.016837571092998264,0.004941980648106297,0.0017043508690893839,0.07668016252751128,0.0025385153157840385,0.007104803532473905
ARM,0.00015291731637923049,0.5119613279387898,0.000677177439461502,0.0004274581434517649,0.00032431608761902147,9.158681562217666e-05,0.0,0.16789850750356045,0.0,0.00023012844024368525
ABW,2.4048708680741624e-05,0.05545971322006041,0.030104983504620035,2.894350055800465e-06,2.0574830897277933e-06,2.6335292072670707e-17,0.03358187114396422,0.18252833998499735,0.0334466436583965,7.908605593892709e-06
AUS,0.009996550988995535,0.3121583097500743,0.009578764771993493,0.015670969614507944,0.01720098456736229,0.022543964367003223,0.007211693602788661,0.019620261677615644,0.002812949403976908,0.014230103502335372
AUT,0.0016245562277581156,0.22155815537490278,0.0033978726387139083,0.0009990949641195761,0.0012017292666835968,0.000419376364725465,0.0030016925754111534,0.10366693753810928,0.0010462799612353134,0.0016899868405085194
AZE,0.0010372400849558688,0.46016881227275314,0.00010307479609502508,0.0024900421505757962,0.0008474275423590574,0.00014738839706427068,0.002505650158288124,0.20454342160026281,0.0,0.0010562212402598966
BHS,6.676814477606746e-05,0.04783198717817503,0.030104983504620035,2.82783550967122e-05,4.1514915650142475e-05,1.6510701620687576e-06,0.03358187114396422,0.07876345771810385,0.0334466436583965,9.086638304751257e-05
BHR,0.0008670726399870767,0.8956710757498068,0.0,0.00042157443714691125,4.161948874137959e-05,4.130515134263763e-05,0.004070091627676141,0.3943365703774661,0.0,0.0006136728958979381
BGD,0.0020251650964145207,0.10352036386206535,0.0,0.013119631486801724,0.00846068496627669,0.00017151576859226556,0.0,0.6509588311273351,0.0,0.003424467829561067
BRB,3.5109085246989886e-05,0.09945834674986827,0.030104983504620035,1.3649482339339126e-05,1.860608955544465e-05,2.6337126389872955e-17,0.03358187114396422,0.09139022515264882,0.0334466436583965,2.875502893024327e-05
BLR,0.0017569763325191612,0.06856570115430777,0.0006184487765701505,0.0020738112395644976,0.004409094996215745,7.138345928740983e-05,0.0002925378357392226,0.12991095522051496,0.0,0.002048446662548311
