CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
MEA,0.06284404493597616,0.7144242499729702,0.030104983504620035,0.057690372726680234,0.02961830201753194,0.0026734091805614623,0.03358187114396422,0.442954320989263,0.07124900630053572,0.027664843964379168
MNA,0.03546139375559552,0.6322602263741002,0.030104983504620035,0.03746340359031098,0.02560187021812304,0.0014538179732978165,0.03358187114396422,0.40180129025738887,0.039542222126372525,0.01730842792236667
TMN,0.03540507715931783,0.6322602263741002,0.030104983504620035,0.03746340359031098,0.02560187021812304,0.0014538179732978165,0.03358187114396422,0.4051220481922868,0.03927699215012345,0.01730842792236667
MIC,0.5117621392229146,0.35602025522008673,0.3777000128757042,0.7125010499737894,0.6308490859112449,0.5298603419839754,0.6383108685270461,0.3351978840465029,0.5785987661353074,0.5387521505874359
NAC,0.1641142733753702,0.40687191663806876,0.3866650390781514,0.07852047996563395,0.1068927730356825,0.05970837755039574,0.13451099842059433,0.03916832144835894,0.2588344695375141,0.13970851039944274
INX,0.030875270618555058,0.255375255449984,0.030104983504620035,0.03863060306696951,0.03888700002154379,0.040511951510567,0.03358187114396422,0.18077199690131263,0.0334466436583965,0.03375753503199711
OED,0.3497130745523161,0.33487725260861,0.6231998896292823,0.19527620303057092,0.24972507528180649,0.11485834015939374,0.34601165123179795,0.08407417364994826,0.4023860333930774,0.3046385968724534
OSS,0.004771157161166179,0.6267105252802072,0.030104983504620035,0.009566636689362057,0.0038979466810194503,0.016839005418662678,0.03358187114396422,0.24173075440267064,0.0334466436583965,0.006674132532940816
PSS,6.70725588100009e-05,0.015351306048863582,0.030104983504620035,0.0003272091577748059,0.0009909224490530183,6.712087093200812e-06,0.03358187114396422,0.022586876177169722,0.0334466436583965,0.00014150192286819762
PST,0.3298791811140722,0.34013420810995126,0.6063829780787046,0.17288041436092008,0.22639750584050602,0.11045268703162822,0.3449100483620054,0.06900402222298056,0.3897049494896619,0.28532194483970996
PRE,0.009543616186559533,0.24807495766089918,0.030104983504620035,0.08724279161128463,0.1475227785783766,0.3498254496534123,0.03358187114396422,0.31012430443591343,0.0334466436583965,0.078390000001388
SST,0.006634776498412846,0.6096641562045546,0.030104983504620035,0.012308365935167289,0.006090362038314724,0.016930660155443072,0.03358187114396422,0.1966819106959406,0.0334466436583965,0.008430128349345204
