CountryCode,SH.DTH.COMM.ZS,SH.MLR.INCD.P3,SH.TBS.INCD,SP.DYN.LE00.IN
ARB,0.39319215004496777,0.05543812200639853,0.09804244066047473,0.3373962183058656
CSS,0.2170020241750697,0.05543812200639853,0.09804244066047473,0.6115228561973676
CEB,0.029336878905757036,0.05543812200639853,0.09804244066047473,0.708933081914195
EAR,0.517158640738222,0.0480590299080942,0.09804244066047473,0.3089891433374467
EAS,0.18614415757151484,0.013059228208989433,0.12925696594427244,0.3673262854525075
EAP,0.19460047273021808,0.01310262960148478,0.14009287925696595,0.3192915233132778
TEA,0.19116178210240517,0.013114180892408041,0.09804244066047473,0.3180841106592385
EMU,0.04509361013628672,0.05543812200639853,0.09804244066047473,0.7346327729921325
ECS,0.06049227998439626,0.05543812200639853,0.05108359133126935,0.6949695184237948
ECA,0.06634871384678452,0.05543812200639853,0.09752321981424149,0.6307487826093556
TEC,0.06362477493138594,0.05543812200639853,0.09804244066047473,0.6381974582636626
EUU,0.05278460835625715,0.05543812200639853,0.09804244066047473,0.7347314537580736
FCS,0.7707429028685007,0.1832465795593584,0.09804244066047473,0.22830486011558634
HPC,0.865565873848858,0.2341813456358122,0.09804244066047473,0.2090775099335046
HIC,0.06745999203371497,0.05543812200639853,0.01393188854489164,0.7208945093485201
IBD,0.2874341850131071,0.02036216355785072,0.09804244066047473,0.3707821181460729
IBT,0.4437060117964529,0.09127259627822172,0.09804244066047473,0.3508186705335978
IDB,0.8095583113882954,0.17129229964488568,0.09804244066047473,0.280523113932183
IDX,0.8001719262855665,0.20999985113273809,0.09804244066047473,0.23651351465380843
IDA,0.8034282402082555,0.1958480094875405,0.09804244066047473,0.2507197129678514
LTE,0.11481093157377806,0.0039892254953976395,0.09804244066047473,0.39888997293520423
LCN,0.23204658629055228,0.022211636073628947,0.04256965944272446,0.5009053217733882
LAC,0.23706784416112778,0.022211636073628947,0.04411764705882353,0.49423658299315504
TLA,0.23567314760873032,0.022211636073628947,0.09804244066047473,0.49345813775165454
LDC,0.8154689144991096,0.20443094532869038,0.09804244066047473,0.2208743195193853
LMY,0.44736270085205937,0.09095181958018725,0.1586687306501548,0.346309513372154
LIC,0.8657400690091535,0.23377369065191383,0.23916408668730652,0.20029522647009193
LMC,0.5614418702290388,0.07457829854680643,0.21594427244582043,0.3150924561897227
MEA,0.24731449176158324,0.05543812200639853,0.03560371517027864,0.335143094256281
MNA,0.2550720502828813,0.05543812200639853,0.03869969040247678,0.333954185657261
TMN,0.2550720502828813,0.05543812200639853,0.09804244066047473,0.333954185657261
MIC,0.3788786459684942,0.05762157105250259,0.15092879256965944,0.35697618778130746
NAC,0.05892810096574825,0.05543812200639853,0.005108359133126935,0.7455839967528135
INX,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.4477053189829093
OED,0.07548689402607225,0.05543812200639853,0.09804244066047473,0.7006041005855468
OSS,0.6501802409618426,0.05543812200639853,0.09804244066047473,0.41889296315611146
PSS,0.25683730402336774,0.05543812200639853,0.09804244066047473,0.4586401670182262
PST,0.06262756271442206,0.05543812200639853,0.09804244066047473,0.724988004808642
PRE,0.8911888669141277,0.23238834530099425,0.09804244066047473,0.19547196708004458
SST,0.5618907103314129,0.05543812200639853,0.09804244066047473,0.47724888615707206
SAS,0.5593163869694723,0.025009469731567664,0.21284829721362228,0.2515111713344994
TSA,0.5593163869694723,0.025009469731567664,0.09804244066047473,0.2515111713344994
SSF,0.8870824131843535,0.2426828527304216,0.26625386996904027,0.22326448441346522
SSA,0.8871261382721083,0.2426828527304216,0.26625386996904027,0.22326448441346522
TSS,0.8870824131843535,0.2426828527304216,0.09804244066047473,0.22326448441346522
UMC,0.13907050333976387,0.005168398573170321,0.08591331269349846,0.3913638551960055
WLD,0.3828729229255303,0.09082386633409419,0.13312693498452013,0.4394608589983497
AFG,0.7509677419354839,0.06151636990235496,0.14705882352941177,0.08133464360067057
ALB,0.07741935483870968,0.05543812200639853,0.01780185758513932,0.6104696859758538
DZA,0.24645161290322581,2.1680794652102813e-05,0.05727554179566564,0.325370497070448
ASM,0.3237034303778456,0.05543812200639853,0.0046439628482972135,0.4477053189829093
AND,0.3237034303778456,0.05543812200639853,0.016253869969040248,0.4477053189829093
AGO,0.9187096774193547,0.18127512923607123,0.22987616099071206,0.09704879250352222
ATG,0.1664516129032258,0.05543812200639853,0.00456656346749226,0.6021279477779672
ARG,0.13161290322580643,0.0014359563469270534,0.02863777089783282,0.6628435677118617
ARM,0.04774193548387096,0.05543812200639853,0.04721362229102167,0.6743033740534292
ABW,0.3237034303778456,0.05543812200639853,0.009287925696594427,0.6691017047567375
AUS,0.03870967741935485,0.05543812200639853,0.004876160990712074,0.7619172926816854
AUT,0.0167741935483871,0.05543812200639853,0.013157894736842105,0.7224496592470917
AZE,0.22838709677419358,0.010281447443997702,0.5270897832817337,0.5844078474545127
BHS,0.30838709677419357,0.05543812200639853,0.02476780185758514,0.6188653475990272
BHR,0.09161290322580645,0.05543812200639853,0.02786377708978328,0.4307368700773316
BGD,0.6051612903225806,0.007179781734635267,0.17414860681114552,0.31997082095611007
BRB,0.12903225806451613,0.05543812200639853,0.0010061919504643962,0.5836507625635111
BLR,0.009032258064516132,0.05543812200639853,0.06424148606811146,0.7069292032878622
BEL,0.07870967741935483,0.05543812200639853,0.010835913312693499,0.7421942606494453
BLZ,0.23612903225806453,0.011774842044801838,0.037925696594427245,0.569913662125307
BEN,0.8490322580645161,0.22331993107409534,0.06656346749226007,0.16886444168548156
BMU,0.3237034303778456,0.05543812200639853,0.0,0.7525950109184154
BTN,0.4735483870967742,0.015163699023549684,0.19582043343653252,0.11999515120559763
BOL,0.44,0.013957495692130959,0.14241486068111456,0.25432573717636187
BIH,0.024516129032258062,0.05543812200639853,0.07430340557275542,0.5753853799358274
BWA,0.9987096774193547,0.02527283170591614,0.7074303405572755,0.4034158117287337
BRA,0.20903225806451617,0.03595634692705342,0.039473684210526314,0.4682434163811601
VGB,0.3237034303778456,0.05543812200639853,0.004334365325077399,0.4477053189829093
BRN,0.11096774193548387,0.05543812200639853,0.08281733746130031,0.6148206593152495
BGR,0.023225806451612905,0.05543812200639853,0.04489164086687306,0.7341575133449703
BFA,0.9574193548387095,0.3570361860999426,0.05417956656346749,0.11919061370034634
BDI,0.8606451612903224,0.24055140723722,0.22445820433436534,0.23872116067368898
CPV,0.3741935483870968,0.004939689833429063,0.1238390092879257,0.37350168370503034
KHM,0.7212903225806452,0.11889718552556003,0.44504643962848295,0.23864998175231286
CMR,0.8658064516129031,0.26484778862722574,0.23916408668730652,0.243809806470984
CAN,0.04,0.05543812200639853,0.005030959752321981,0.7675080734152334
CYM,0.3237034303778456,0.05543812200639853,0.010835913312693499,0.4477053189829093
CAF,0.9341935483870967,0.2513497989661114,0.8304953560371517,0.15464806984334667
TCD,0.921290322580645,0.13871338311315337,0.11687306501547988,0.18163048908115317
