CountryCode,SN.ITK.DFCT,NY.GDP.MKTP.KD.ZG,SH.XPD.TOTL.ZS,AG.PRD.LVSK.XD,SI.POV.NAGP
ARB,0.08944666009943082,0.5444092510114695,0.18493257542420546,0.08027282355413415,0.05094836454380463
CSS,0.10269412175606661,0.5278573950124491,0.2563569179832825,0.08350839238263615,0.05094836454380463
CEB,0.09996551551876065,0.5251735301299834,0.2897759349618356,0.0728555496373765,0.05094836454380463
EAR,0.1669360008757411,0.5503347187738249,0.21062147032940007,0.09980484371722238,0.05094836454380463
EAS,0.14538301333287842,0.5535810591273934,0.2911845781190822,0.09512434134776455,0.05094836454380463
EAP,0.14967540241758562,0.5739052274720627,0.20533265855107444,0.098498159955375,0.05094836454380463
TEA,0.14413724014367396,0.5739086937056675,0.20533647653919418,0.09858119486828278,0.05094836454380463
EMU,0.09996551551876065,0.5120167442810567,0.45843747131693213,0.07751287453678099,0.05094836454380463
ECS,0.09996551551876065,0.5210089041702438,0.4141387986207694,0.08236933392369232,0.05094836454380463
ECA,0.09996551551876065,0.5449208757875317,0.27048162309934387,0.0941845755532074,0.05094836454380463
TEC,0.09996551551876065,0.5424462144524959,0.2701384943185706,0.09237032666494749,0.05094836454380463
EUU,0.09996551551876065,0.5160420158360451,0.44217626857842857,0.07660633649570096,0.05094836454380463
FCS,0.3151988306614503,0.5608256145447246,0.2401243763254125,0.07721924434960323,0.05094836454380463
HPC,0.30985873440932704,0.5608532444090458,0.2510725192345383,0.0801081009130903,0.05094836454380463
HIC,0.09996551551876065,0.525599330600236,0.5386330057727304,0.07873718050338872,0.05094836454380463
IBD,0.13610479239204726,0.5552230131222403,0.24246891931271142,0.09641616320725357,0.05094836454380463
IBT,0.16109770752980615,0.5556041270889956,0.23835082535682803,0.09587995666914866,0.05094836454380463
IDB,0.18568408224878252,0.5587988783087362,0.14879242382589514,0.09964907253784012,0.05094836454380463
IDX,0.2777690992485103,0.5637183595334062,0.21187067166429432,0.08634822376670147,0.05094836454380463
IDA,0.2438681422836507,0.5612124201759456,0.1786807850274179,0.09234576430165775,0.05094836454380463
LTE,0.1340959613932423,0.5570277537218645,0.2490750114551313,0.09502267381153696,0.05094836454380463
LCN,0.0739721527657452,0.5372932839979595,0.30307760058787314,0.0932038549824832,0.05094836454380463
LAC,0.07507450242155753,0.5372876338526725,0.3017847516202447,0.09379928065517025,0.05094836454380463
TLA,0.07503578204462877,0.5378669921137462,0.3016710346513448,0.09312715659804455,0.05094836454380463
LDC,0.28723055529711644,0.5637872728577856,0.19706268190738993,0.08748338244316374,0.05094836454380463
LMY,0.16317908905105533,0.5564420286772466,0.23716332876157362,0.09630875828025885,0.05094836454380463
LIC,0.33823462186260106,0.5616615149390077,0.23741170985470444,0.09236892410997376,0.05094836454380463
LMC,0.17382406759047603,0.5600540486874913,0.17778126896575625,0.09843593484619804,0.05094836454380463
MEA,0.08591723587272619,0.5374586836983284,0.2078974679893879,0.09155384967100871,0.05094836454380463
MNA,0.0938819856921339,0.5277527614635018,0.2616242188944061,0.09070751173049774,0.05094836454380463
TMN,0.0938819856921339,0.527712208064084,0.2616242188944061,0.09098462876329876,0.05094836454380463
MIC,0.14603029498048012,0.5562425654433709,0.23716006458961142,0.09647259620357786,0.05094836454380463
NAC,0.09996551551876065,0.5287325020492487,0.7347691681767418,0.07931271749908066,0.05094836454380463
INX,0.09996551551876065,0.5204762125279065,0.2531508539064053,0.08466241355300909,0.05094836454380463
OED,0.09996551551876065,0.5258642492091544,0.5419974370913871,0.08022301690848867,0.05094836454380463
OSS,0.23459857185173288,0.540559897153114,0.16261592281338513,0.0840600037310125,0.05094836454380463
PSS,0.06665749620515941,0.5424378714585101,0.2311045275985262,0.08285486046708795,0.05094836454380463
PST,0.09996551551876065,0.5246886302892901,0.5593572510263513,0.0788349807727405,0.05094836454380463
PRE,0.22277353274982709,0.5597770704889584,0.1966516733615883,0.07962618113533372,0.05094836454380463
SST,0.18396479542679967,0.5387299019574806,0.17648478763614014,0.08389321418540979,0.05094836454380463
SAS,0.20125865734117124,0.5643447267584033,0.1660889633528951,0.10392778769538766,0.05094836454380463
TSA,0.20125865734117124,0.5643447267584033,0.1660889633528951,0.10392778769538766,0.05094836454380463
SSF,0.23073278413059414,0.5541259127704738,0.23167532646517106,0.08402840579024003,0.05094836454380463
SSA,0.23073278413059414,0.5541181759312233,0.23175739479411764,0.08402832707012885,0.05094836454380463
TSS,0.23073278413059414,0.5541259127704743,0.23167532646517106,0.08402840579024003,0.05094836454380463
UMC,0.11280858642188339,0.5551369743940398,0.25286552523368344,0.09566456178843012,0.05094836454380463
WLD,0.15990511118784898,0.5357433057792037,0.42935192148852036,0.08952147372111767,0.05094836454380463
AFG,0.2568493150684932,0.5304284166733633,0.3492562290460204,0.07836591041781446,0.147005444646098
ALB,0.09996551551876065,0.5233947848043002,0.23186218567331024,0.08383425568831253,0.047186932849364795
DZA,0.04280821917808219,0.5371256847840703,0.3014184166364735,0.12405331842215622,0.05094836454380463
ASM,0.09996551551876065,0.48756136848006776,0.2531508539064053,0.07631836459472571,0.05094836454380463
AND,0.09996551551876065,0.5136740864060538,0.5075275476804454,0.08466241355300909,0.05094836454380463
AGO,0.18835616438356165,0.5706399158472871,0.16595766355821126,0.10622569053277303,0.05094836454380463
ATG,0.09996551551876065,0.5125427604651516,0.2165750519243869,0.044823985066894716,0.05094836454380463
ARG,0.011986301369863013,0.534124480912634,0.2002254036610218,0.08209096366222894,0.05094836454380463
ARM,0.0821917808219178,0.5415354495476412,0.17955392094234535,0.10749204417436208,0.10163339382940109
ABW,0.09996551551876065,0.5173511352192802,0.2531508539064053,0.08466241355300909,0.05094836454380463
AUS,0.09996551551876065,0.5354873692290506,0.4074329615623914,0.07996941015878758,0.05094836454380463
AUT,0.09996551551876065,0.515229195780184,0.49141932941917554,0.08038056393852427,0.05094836454380463
AZE,0.025684931506849314,0.5622164566416818,0.2262953402869138,0.13684842404756226,0.05094836454380463
BHS,0.09996551551876065,0.5143041990006294,0.29768628682625237,0.08960685475581576,0.05094836454380463
BHR,0.09996551551876065,0.5590673144483692,0.18599959378689065,0.2736968480951245,0.05094836454380463
BGD,0.2071917808219178,0.5640132743278296,0.1006180850442306,0.10000082230755947,0.11252268602540835
BRB,0.039383561643835614,0.5136027684061387,0.32245453475983404,0.08130154840513448,0.05094836454380463
BLR,0.09996551551876065,0.5226822858633939,0.25160010701611196,0.11051813599322416,0.05094836454380463
BEL,0.09996551551876065,0.5136837373838616,0.46467666860908363,0.079369125640372,0.05094836454380463
BLZ,0.06335616438356165,0.5250852560054875,0.23827602512170695,0.0863916321982748,0.05094836454380463
BEN,0.11643835616438356,0.5737835584192821,0.1815340744536031,0.09883314557310725,0.17241379310344826
BMU,0.09996551551876065,0.4933992833866731,0.2531508539064053,0.08669588599527996,0.05094836454380463
BTN,0.09996551551876065,0.531947375618628,0.14525821430010882,0.07208348066343773,0.041742286751361164
BOL,0.238013698630137,0.5704943426937501,0.2465308244949777,0.1031338141091531,0.3139745916515427
BIH,0.09996551551876065,0.5340322716527929,0.4121942480934218,0.09075808533907852,0.05094836454380463
BWA,0.3407534246575342,0.6081624183195355,0.24052229535281916,0.10556784448519434,0.05094836454380463
BRA,0.018835616438356163,0.5390907287306956,0.3657433429296775,0.09755034578032874,0.05094836454380463
VGB,0.09996551551876065,0.5204762125279065,0.2531508539064053,0.0747395340805368,0.05094836454380463
BRN,0.0273972602739726,0.4965894386619765,0.08781894362579651,0.14327064608704945,0.05094836454380463
BGR,0.09996551551876065,0.5213412677355576,0.33956795681797397,0.06600662779892934,0.05094836454380463
BFA,0.2893835616438356,0.5375152055200957,0.24404139487543244,0.06215000534499913,0.17059891107078037
BDI,0.09996551551876065,0.5522546292740875,0.3443681311075459,0.09614419985362925,0.4500907441016334
CPV,0.1386986301369863,0.5208501014319102,0.1673956438007019,0.055810014061459266,0.05094836454380463
KHM,0.1934931506849315,0.5757285323942672,0.24500792395067653,0.06637666620069238,0.050816696914700546
CMR,0.11472602739726027,0.5602699362542651,0.1673810162126736,0.09434334629838251,0.2558983666061706
CAN,0.09996551551876065,0.5347016529005905,0.469044579161878,0.06307921288720407,0.05094836454380463
CYM,0.09996551551876065,0.5204762125279065,0.2531508539064053,0.07423792646925802,0.05094836454380463
CAF,0.4520547945205479,0.21019950255959188,0.14508275567632034,0.09828219950826006,0.05094836454380463
TCD,0.5136986301369864,0.5614156412786702,0.12592671247575157,0.087435962798806,0.352087114337568
CHI,0.09996551551876065,0.5256125362637407,0.2531508539064053,0.08466241355300909,0.05094836454380463
CHL,0.0410958904109589,0.5477066244863826,0.3206822569896617,0.08513350163228049,0.05094836454380463
CHN,0.14897260273972604,0.5784598624983176,0.2191066988327539,0.09680204590120796,0.05094836454380463
COL,0.13184931506849315,0.5545740777694694,0.28810679645479004,0.09261650042348837,0.20871143375680581
COM,0.09996551551876065,0.5431921311868748,0.27230341366262967,0.0856680015459382,0.05094836454380463
COD,0.09996551551876065,0.584638193259113,0.14814510641934348,0.09238625430683584,0.05094836454380463
COG,0.3236301369863014,0.5427009685932304,0.20532733195907546,0.12781126396894962,0.2976406533575317
CRI,0.06335616438356165,0.5329954823140389,0.41229901917501155,0.09405553865256681,0.14519056261343014
CIV,0.1678082191780822,0.5878349095858938,0.2391719144697044,0.10036263763372776,0.29038112522686027
HRV,0.09996551551876065,0.5053873083280709,0.334741734741461,0.07199302683189565,0.05094836454380463
CUB,0.018835616438356163,0.5369597158910853,0.4130330265051327,0.11121709741877656,0.05094836454380463
CUW,0.09996551551876065,0.5204762125279065,0.2531508539064053,0.08466241355300909,0.05094836454380463
CYP,0.09996551551876065,0.46489115862526964,0.31724394248562293,0.06584216628703468,0.05094836454380463
CZE,0.09996551551876065,0.5101937565833896,0.3185613764996445,0.06310388211398826,0.05094836454380463
DNK,0.09996551551876065,0.5219315147986795,0.4965898115763661,0.07390078036987394,0.05094836454380463
DJI,0.2654109589041096,0.555616475774524,0.39683260160612943,0.10352852173770032,0.05094836454380463
DMA,0.09996551551876065,0.5205837330044177,0.22830682206012295,0.08120287149799767,0.05094836454380463
DOM,0.1660958904109589,0.5534806563501111,0.15914032319711138,0.08491147859122268,0.05094836454380463
ECU,0.1284246575342466,0.5551741749953526,0.30911174917108564,0.10199902967707981,0.15789473684210525
EGY,0.018835616438356163,0.5323033095413746,0.22274334218357483,0.10019817612183309,0.05094836454380463
SLV,0.14897260273972604,0.5294967413330208,0.29296406558452603,0.07982961787367711,0.05094836454380463
GNQ,0.09996551551876065,0.4799632794255551,0.14088209330459403,0.08436875560197024,0.05094836454380463
ERI,0.09996551551876065,0.5860985301821464,0.10674229228463311,0.09434334629838251,0.05094836454380463
EST,0.09996551551876065,0.5259229996844862,0.27099696430538267,0.09764079961187082,0.05094836454380463
ETH,0.4366438356164384,0.6018574672556624,0.20994614082131718,0.09468871547336134,0.13611615245009073
FRO,0.09996551551876065,0.5204762125279065,0.2531508539064053,0.07510957248229982,0.05094836454380463
FJI,0.04965753424657534,0.5645674154236356,0.16594863505373564,0.08263368665148137,0.05094836454380463
FIN,0.09996551551876065,0.5079210770988323,0.41609417145921457,0.0733580573806215,0.05094836454380463
