CountryCode,EG.USE.ELEC.KH.PC,EG.ELC.HYRO.ZS,EG.ELC.NUCL.ZS,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.COMM.FO.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS
ARB,0.010234232539781193,0.16115840858946298,0.0,0.831278249788169,0.0,0.07263908406083794,0.91372323295903,0.072415212459437,0.08002017105559574
CSS,0.05028894504522653,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.17132078291294534,0.958413509014012,0.031602817716877396,0.11330842034584257
CEB,0.06011638775657011,0.060827428881696795,0.034842293011287745,0.7392423503120671,0.0010590891522506787,0.2120439394301724,0.9824690312312679,0.0696016099942201,0.04116734531342473
EAR,0.005737110808556392,0.267700441601453,0.011051951446272561,0.6387173395913419,0.010982493458316409,0.11403571982379289,0.44199071887423896,0.260203870414001,0.3777382795132441
EAS,0.012775958586910576,0.173441560886606,0.10094526759296109,0.7358286020375511,0.006816222083382322,0.16349693772448776,0.911480562157041,0.15780707014757,0.2669008364917287
EAP,0.004492281533024208,0.2067931123245,0.0,0.778873383956027,0.008999600747662331,0.2567643083808963,0.66102609571728,0.224949443673219,0.3769106112862164
TEA,0.004289923462873078,0.18952571770992999,0.0,0.7955316231171401,0.009533297108527591,0.2567643083808972,0.64941592152429,0.212736573679809,0.3875410915820741
EMU,0.021947888767250078,0.387259336832333,0.0005238755184342973,0.555494155266588,0.01013901926710167,0.09498168132284505,0.940215065056185,0.119085194275106,0.0666192220629013
ECS,0.0919580428605643,0.12120440563978001,0.08289102694637722,0.409697376916442,0.0051477289926881685,0.14584965332816455,0.9375287612951171,0.161003874903742,0.05815824412567125
ECA,0.08206247949190042,0.148458829235429,0.13696277248466707,0.738971630080935,0.00013382643223905244,0.24458993492257508,0.44199071887423896,0.149074749535441,0.04230634592326433
TEC,0.0800433055373548,0.139446989645012,0.12801257198478086,0.755281204879243,0.00016918031982074826,0.24265160712984604,0.8933975945488101,0.140009638394207,0.04141881077248029
EUU,0.02583294931568185,0.27768034093043403,0.004852230295932386,0.59602208143854,0.005811958784266187,0.10710565379991858,0.9528032427280609,0.120036030679635,0.06247829875197523
FCS,0.004173470781929407,0.35859491252194703,0.0,0.494113745078235,0.0004506796947330356,0.12055485260336009,0.46134295488189897,0.29123160969986,0.5595759943000778
HPC,0.0021216112378940047,0.666072877346677,0.0,0.0882569453334721,0.004274236430590435,0.2043533777970264,0.155405400282194,0.830555532299326,0.8773138459188348
HIC,0.041259923922467245,0.31494164720561796,0.002124468440982972,0.636875809842937,0.0028544335475252677,0.12599891320594087,0.944273240557199,0.16459544255258,0.06503629524755365
IBD,0.007625078084287385,0.178088519999155,0.0066996604649407175,0.393253679169867,0.005157914580773996,0.17975375905591975,0.8933975945488101,0.231058917062277,0.23535627649528684
IBT,0.006711187512127753,0.186984980487177,0.006286514022955207,0.37716114374114,0.004989281055702026,0.18012938922487326,0.8933975945488101,0.242858181279043,0.2813144074182986
IDB,0.0023130915044073026,0.27003048492279896,3.767172113136586e-05,0.17597660553759797,0.003454490939539364,0.18407489052879877,0.259208187639694,0.27080040582791,0.5686824773905623
IDX,0.0014379062229981062,0.39297186246945104,0.0,0.101483220247119,0.001630072002320203,0.1853160452578546,0.19986113580682902,0.669471541400594,0.7702930944437688
IDA,0.001770095356077966,0.32392641391883,1.7777327414043658e-05,0.133788471526704,0.00244526721782488,0.18458623785728195,0.228574582220544,0.43247628878958105,0.6636883750121518
LTE,0.009164013990891664,0.162262472552433,0.003580138594474058,0.33069023682663795,0.0028919602635087416,0.2145964896438011,0.9602612608686669,0.243962753914447,0.1994164354360947
LCN,0.015890949324933148,0.587803117334445,0.007960135126394057,0.370569296088167,0.023431264141527835,0.08340354425880978,0.736307693810226,0.642099865128958,0.3315418568230334
LAC,0.015764113775820404,0.599409068116959,0.008564614338553544,0.376167255722549,0.024539335096436056,0.08241284155694883,0.733404165307222,0.6674010236668271,0.33345971283982856
TLA,0.015881511962887035,0.616869568757031,0.008357488588424696,0.36127114348518097,0.020137370145269125,0.08341664428792811,0.737526890615683,0.677198819019237,0.3283241353367065
LDC,0.0009114028929055423,0.620952275676642,0.0,0.167292786379471,0.0029698341264355497,0.17942840612903782,0.150142106257015,0.648767773578408,0.8784802426960862
LMY,0.006192373330395297,0.19814749042389798,0.00670858407247888,0.353563648788148,0.005756489304045908,0.17999971365399275,0.44199071887423896,0.24935719803765402,0.28526495804784546
LIC,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.401137714853229,0.614475032040791,0.7051671055785097
LMC,0.0023132151063671104,0.238848179276252,0.008655465478945999,0.292830283294176,0.010613692409819995,0.16172290527129407,0.393172094765291,0.230073228416567,0.45134765328586257
MEA,0.011834448034141997,0.157692709976233,0.0,0.838608914405456,0.0,0.07656844848444948,0.9718150537376199,0.0705262711042112,0.029127803239186113
MNA,0.007678411257287947,0.260947571013486,0.0,0.731541874776196,0.0,0.07980694874323545,0.9559045911681701,0.125220088196811,0.04118854500657248
TMN,0.007678411257287947,0.26270969978846,0.0,0.736481836403871,0.0,0.07980694874323545,0.9559045911681691,0.125260555528625,0.04051721759067945
MIC,0.006311893962394656,0.19270901027207502,0.00685782642128581,0.355476052756093,0.005843957022990362,0.17865754086420116,0.44199071887423896,0.244862697710686,0.2674515241064389
NAC,0.07629360113667379,0.277555433877899,0.0007606126050108653,0.721274930405675,0.00021942400601325925,0.17183940597455047,0.9466844186778159,0.181782758950046,0.06272955846780434
INX,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,0.29915937641451423,0.3245817097398323
OED,0.03966853480099982,0.317705005345905,0.0021391771555034187,0.6423159836659831,0.0029134899395688602,0.12606720620606604,0.941345468013334,0.172622663515622,0.07144794466744618
OSS,0.0198419186770675,0.16116174881701198,0.0,0.307381971067315,0.005960703633238257,0.11023090288234501,0.7212772797481359,0.16362044434716,0.2746787664002155
PSS,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.051939206730022155,0.0,0.61178247734139,0.4886587595900958
PST,0.04256873055391411,0.308884608812564,0.0020916288452367767,0.609971910634138,0.0028009394768442296,0.13388985371079912,0.9437437441752741,0.16400023735228403,0.06465693225267782
PRE,0.002549453448462784,0.482840243520891,0.0,0.370057739844318,0.0062319160425227576,0.15185143101912613,0.244540094282035,0.49254889188982,0.7981746355189728
SST,0.0198419186770675,0.12498634070993701,0.0,0.34591290069722097,0.02233232206028363,0.12080571565224699,0.7212772797481359,0.148513539102443,0.24870700858617642
SAS,0.0020960436477287293,0.408298900115509,0.02680169580814254,0.561198095434766,0.0,0.14556006445279604,0.38361260773122197,0.277888522745889,0.6112728879664964
TSA,0.0020960436477287293,0.408298900115509,0.02680169580814254,0.561198095434766,0.0,0.14556006445279604,0.38361260773122197,0.277888522745889,0.6112728879664964
SSF,0.008327046785654593,0.212795186930001,0.0,0.676623689618394,0.0021734751532727146,0.19405881413900372,0.403610536685834,0.194778795595818,0.7253894823586885
SSA,0.008327046785654593,0.212968790690238,0.0,0.677175696543352,0.002175248329935376,0.19420317702154313,0.403610536685834,0.194864125957529,0.7254824998612646
TSS,0.008327046785654593,0.212795186930001,0.0,0.676623689618394,0.0021734751532727146,0.19405881413900458,0.403610536685834,0.194778795595818,0.7253894823586885
UMC,0.009986450869329672,0.180857236563441,0.006395440391523545,0.372162158164667,0.004605198007875011,0.1860079529091247,0.44199071887423896,0.24963478377234502,0.19314824967417982
WLD,0.028714720345336592,0.182722941509098,0.09822551446184762,0.576829697100652,0.005756249988939523,0.14653820257279618,0.941345468013334,0.193615218686989,0.17406210103388378
AFG,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,0.677304964539007,0.1622245302899757
ALB,0.020634279557635932,0.794078061911171,0.0,0.205921938088829,0.0,0.14485368733154094,0.809287927914084,0.8640776699029129,0.2599548588630435
DZA,0.005764916859972616,0.0360803032430156,0.0,0.9639196967569851,0.0,0.06397843959452941,0.997303500701322,0.008383010432190759,0.001805439307099665
ASM,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,0.0,0.0
AND,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,1.0,0.14540583621829375
AGO,0.0008064395973458267,0.881481481481482,0.0,0.118518518518519,0.0,0.08646252295156598,0.19963064235226502,0.862068965517241,0.7360700084963657
ATG,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.0697971579323181,0.0,0.0,0.0
ARG,0.02230261045583401,0.38140331436054997,0.07411875512343633,0.5572457563088701,0.003983401177921405,0.10363264348659025,0.9027525879139501,0.354414662987781,0.09089835699950594
ARM,0.04946668904489851,0.150067554526153,0.0,0.849932445473847,0.0,0.48919546068567543,0.970440551837946,0.150067554526153,0.021585863160145692
ABW,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,0.0,0.0020231603649927543
AUS,0.03309460985875678,0.18639563616019403,0.0,0.7994778311343189,0.023274187672247554,0.14368946132906968,0.859066921051014,0.0965603064418908,0.08159423971065155
AUT,0.03289475050654515,0.735591244657428,0.0,0.26440875534257197,0.0,0.08103488369156482,0.8544074708887619,0.662021259331386,0.25605998454646345
AZE,0.04678431005532485,0.0716136834830684,0.0,0.928386316516932,0.0,0.30981232675226544,0.9990499421537009,0.0716136834830684,0.007355712102874265
BHS,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.08107427405049364,0.0,0.0,0.018707466062603997
BHR,0.0839631749787964,0.0,0.0,1.0,0.0,0.2457079785655198,1.0,0.0,0.0
BGD,0.00011316829287902862,0.24776880577985502,0.0,0.7522311942201451,0.0,0.0720818657303595,0.32146069246406805,0.114330056906363,0.7300570991798795
BRB,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.07195738025068162,0.0,0.0,0.1929655409922125
BLR,0.07973504694475873,0.00050599605323079,0.0,0.999494003946769,0.0,0.448596230740422,0.9561863184926289,0.00050599605323079,0.00832649068987455
BEL,0.028544475143794316,0.011351636747624102,0.0,0.988648363252376,0.0,0.12627428015784864,0.999220585763079,0.00789563534968417,0.012932111049596653
BLZ,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.08616983780439962,0.0,0.0,0.3872277117163881
BEN,0.0002779485073536866,0.0,0.0,1.0,0.0,0.1872440770475161,0.09697903959188199,0.0,0.9545626092285271
BMU,0.0198419186770675,0.24189739203078395,0.01198021479363001,0.41306902981560367,0.009367533379276559,0.11263325966708634,0.48580278465580146,0.0,0.024365139504400078
