CountryCode,EG.USE.ELEC.KH.PC,EG.ELC.HYRO.ZS,EG.ELC.NUCL.ZS,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.COMM.FO.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS
ARB,0.04215863001479925,0.0324850263410847,0.0,0.956922573721653,0.004645854187418463,0.08957094313607626,0.9628160009362711,0.035491566048748396,0.04789742140143448
CSS,0.053058365967910616,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.26774740902728544,0.971751820374231,0.0914309173528311,0.0988563693272181
CEB,0.07455118074604226,0.07957012706131121,0.24708997450662254,0.670102097969578,0.0862244528485394,0.09418538249003616,0.799859250527619,0.131905038609269,0.1431677172712453
EAR,0.01926729155232322,0.16350916639818902,0.023015541655502646,0.7884865333850201,0.03919793385898564,0.09279908081458069,0.7911760813505769,0.191115411995576,0.2688471057384148
EAS,0.05956865345992683,0.120513376022239,0.0633296230270015,0.797499129840632,0.041212087876528664,0.1260145986181035,0.865586288295837,0.1467176149975,0.1643659585551344
EAP,0.046866824575084724,0.14588116040039,0.020114300860720618,0.8095322288451121,0.03841531413071874,0.14288897800857658,0.860749645609169,0.170547943855579,0.1958538738574405
TEA,0.04731538112328583,0.143949626620543,0.020186280770522133,0.811309080925823,0.03855278502097106,0.14288897800857658,0.860829407118195,0.16870334051237101,0.19614681590273364
EMU,0.12103884694981255,0.0921449202969532,0.38393369390761195,0.471035981617677,0.202452449315588,0.07207194811373689,0.7229688964865569,0.215025735165217,0.13307489007578094
ECS,0.09995218818095666,0.148859249054442,0.2847801099279298,0.5457416547396791,0.11859966822608381,0.09355107759287869,0.8018236215153319,0.221247153318808,0.1085686430829884
ECA,0.0762716269754326,0.17226397442410898,0.19077746527326372,0.669624085616452,0.008111758958105819,0.14711159776114338,0.8942046257871109,0.177187498709227,0.05875730298263211
TEC,0.07578357672561231,0.159992990282589,0.17595837094568534,0.6889661714466401,0.01595972129083043,0.14097433186948186,0.89623373716817,0.169679924493153,0.06262091151978155
EUU,0.11203160881120092,0.0954887650381126,0.34879342729996976,0.507616088692979,0.1847283650804286,0.07350036126354227,0.742209530180713,0.207611745555778,0.1347712553774237
FCS,0.008910169813738,0.22441798014940498,0.0,0.650049711863499,0.0013782780338626882,0.10872896012782009,0.5710923664767951,0.264122539455059,0.540111938063894
HPC,0.0031245783991020364,0.521731253496298,0.0,0.227019079423458,0.024389572490443583,0.16904042083347606,0.198923187155113,0.679114977862976,0.8105403959893674
HIC,0.1679933772069076,0.11713011413895201,0.23768239384878218,0.626190049753756,0.098014539237345,0.09393790115389579,0.818212244815137,0.176851500779489,0.10098021889376485
IBD,0.039170815428247636,0.189033943785075,0.053740635194399276,0.7423322322294319,0.03890718024007502,0.11980403394950202,0.845129127069123,0.212874518978717,0.19340002878755563
IBT,0.032245302313196396,0.19516135690737102,0.05181708706195305,0.7312430289880549,0.03764402788025992,0.12014291922999605,0.809838793976309,0.221006276196519,0.24604845253196392
IDB,0.007064811046496522,0.27323186163220003,0.030752788499116595,0.66426570467419,0.0147447833580987,0.12415564893471599,0.45235505179298996,0.292739258793262,0.6196202979520603
IDX,0.0046477351414768026,0.382633699004238,0.0,0.428379584118313,0.010743117345135944,0.12472539278853118,0.334273999381079,0.496993513348755,0.7297674294585051
IDA,0.005594059425656161,0.336363516989989,0.013227096403995171,0.53071518329365,0.01248630747698317,0.12440787792044546,0.397666941851396,0.40481255549284806,0.6747304382102772
LTE,0.05905379531807802,0.198050415019616,0.04956029490715688,0.729380109514792,0.037879719497899124,0.136505040602133,0.86498651769263,0.22210147715975498,0.16826676920494227
LCN,0.037265741586370915,0.531974582912762,0.02751039751586703,0.38291543172465903,0.07066223575316728,0.07351610045840117,0.737254089840789,0.574624089438867,0.2875743446298003
LAC,0.03613378202338322,0.5562136857526729,0.029813010791282596,0.376107950415227,0.06926151428119778,0.07188696093320249,0.7290575003356391,0.5984090652666869,0.28967809861157134
TLA,0.03750099291796219,0.549025565274149,0.028395766511621495,0.38224834656053197,0.07235034300566394,0.07351610045840126,0.7343795908221441,0.593096891812452,0.29094289288626823
LDC,0.0029151445700721034,0.40882237600406,0.0,0.391032686937883,0.0018230743312400968,0.12046694984381348,0.263989933012287,0.5448996101381389,0.7772983413365868
LMY,0.03174436202117992,0.197049407204261,0.05283690364762361,0.728967350213214,0.0359109331478314,0.12084634270934341,0.8083407078224251,0.222011730231959,0.2473001817939767
LIC,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.188374508156899,0.73139086204217,0.8209209029405476
LMC,0.012540862539143247,0.167389821501882,0.07100011615409388,0.7345906998400671,0.05172105730781156,0.09630088538464686,0.6608695327349371,0.204926406814404,0.4104487896747325
MEA,0.04860437310308277,0.0292881018766979,0.0003429381279475145,0.963945705780782,0.004234198460261789,0.09617555420684233,0.986427648286185,0.0319507841678324,0.018920870345313433
MNA,0.0296987863605336,0.053641550997420503,0.0006286148043705339,0.933777825131965,0.00705123905887941,0.09085620842225678,0.979319900632579,0.0582738699653361,0.027225082510138703
TMN,0.0296987863605336,0.0540037820777087,0.0006328597192814204,0.9400834472487261,0.007098854720510663,0.09085620842225678,0.979319900632579,0.058324932084561396,0.026794067613190094
MIC,0.033708219629261085,0.194688880616056,0.05343794965823631,0.7361779774460859,0.036314304372766885,0.11957893822470472,0.8215983081314571,0.21828330996856699,0.22531593805345956
NAC,0.24583095240724,0.140649347108278,0.23207619168840432,0.626018956641909,0.07432905125073147,0.11657437217112297,0.8271651770260511,0.18581722012940902,0.09964874448753887
INX,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.49065937158900064,0.2811216792349101,0.29615134679138116
OED,0.14925756162497972,0.12822653450611202,0.2419648846273967,0.612831991996691,0.10263028780160832,0.09216317290648533,0.810469941389598,0.19051915402175598,0.10827002550822844
OSS,0.04960930152700017,0.139297518455547,0.0,0.7172246083036591,0.09365412151269188,0.11023090288234501,0.802703730513427,0.264321675871065,0.29381948008158354
PSS,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.06830101996131474,0.0,0.364204697943232,0.36304612172890643
PST,0.16590348979721178,0.123897205972488,0.2633138532544584,0.600069306436002,0.10126830207177734,0.09546166891104704,0.805722973783392,0.185453902511369,0.10429378933749363
PRE,0.004042884330551277,0.365460463377378,0.0,0.48518421842495696,0.01738953580151673,0.12010128073283137,0.298068976789776,0.44305845093822804,0.765949691014222
SST,0.04960930152700017,0.123364642009893,0.0,0.682410374119875,0.07924815263519115,0.12814626658053857,0.759720794105166,0.23947256897143,0.26066952493128637
SAS,0.011059277707752661,0.145993318897918,0.03807710883186319,0.7797637965093049,0.05663674341612569,0.09505813569785614,0.693753685770954,0.187197599837294,0.4159868824612518
TSA,0.011059277707752661,0.145993318897918,0.03807710883186319,0.7797637965093059,0.05663674341612569,0.09505813569785614,0.693753685770954,0.187197599837294,0.4159868824612518
SSF,0.009023784541953085,0.199183643687044,0.03817091194991964,0.6643883040892039,0.011043649807283212,0.15056126581680832,0.391580388369349,0.23753842442154302,0.7240092750311015
SSA,0.009023784541953085,0.1993461428019,0.038202052756917106,0.664930329073468,0.011052659499470999,0.15056126581680832,0.391580388369349,0.237724142551658,0.724145712211989
TSS,0.009023784541953085,0.199183643687044,0.03817091194991964,0.6643883040892039,0.011043649807283212,0.15056126581680832,0.391580388369349,0.23753842442154302,0.7240092750311015
UMC,0.0573669654727548,0.20204711886385202,0.048732152719282454,0.736719162550134,0.032184400171208896,0.1297896532289376,0.8756338511646631,0.221864514970943,0.15413092270887663
WLD,0.05490559782665035,0.157075602006728,0.14606253758557944,0.677767870192741,0.06726026111437759,0.10744234685266778,0.812600651029951,0.199331193993179,0.18489662924056408
AFG,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.49065937158900064,0.824875621890547,0.10995762263702437
ALB,0.04003202928386642,0.985922214268671,0.0,0.014077785731329,0.0,0.05655949619459284,0.615027652749324,0.985922214268671,0.36635327898230763
DZA,0.02018788384102337,0.009800093706075281,0.0,0.990199906293925,0.0,0.06721560875619786,0.998874756325738,0.009800093706075281,0.0018330999923087323
ASM,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.49065937158900064,0.0,0.0
AND,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.49065937158900064,0.865131578947369,0.1932646591488378
AGO,0.0035510420064077514,0.7090780392850821,0.0,0.290921960714918,0.0,0.06793568945462329,0.438497838995534,0.7090780392850821,0.5370190583065482
ATG,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.05766111840367098,0.0,0.0,0.0
ARG,0.05272798808039399,0.306425842306356,0.061847453635743975,0.627764270001158,0.027405141482102928,0.0766578140145078,0.888538111244916,0.32305970437265996,0.10306116828903988
ARM,0.03276622812888239,0.334993270524899,0.4312995521328757,0.32166890982503404,0.0006652293370228296,0.1073508787115972,0.71549929885755,0.33539703903095597,0.08159461493461838
ABW,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.0854023978007873,0.49065937158900064,0.12101020956475,0.05767711235798595
AUS,0.19374800369384562,0.0659926666062771,0.0,0.895733477218037,0.06305814244336908,0.10992776510237975,0.94421655861136,0.10426652278196301,0.08630698040886066
AUT,0.15355346047038534,0.5498763528920579,0.0,0.333815075312329,0.17535360150410326,0.06825810928477123,0.691121217164169,0.6563092141182519,0.31857950179405425
AZE,0.0309006278924903,0.131861633980487,0.0,0.868138366019513,0.0,0.06677842383154613,0.978625715488742,0.131861633980487,0.036228647578199415
BHS,0.04960930152700017,0.1818430922313698,0.04816905471211162,0.44557504198748366,0.04485162798747277,0.06366691741099488,0.0,0.0,0.015684577625133887
