CountryCode,ER.H2O.FWTL.ZS,SH.H2O.SAFE.ZS,SH.H2O.BASW.ZS,ER.H2O.INTR.PC,ER.GDP.FWTL.M3.KD
ARB,0.025260808077620663,0.803554637935333,0.7705484261282706,0.000573076025587509,0.0028236498481019738
CSS,0.00010483082636458512,0.9268076338248606,0.9123898418469824,0.09909377778563848,0.009344903429005711
CEB,0.0015639257323527037,0.9610870827974792,0.9851992189478156,0.004541645363117301,0.02541228987110626
EAR,0.0016867156106291977,0.818011590108614,0.7972601026253412,0.007608621286180619,0.0024154354864603864
EAS,0.001265756144544583,0.8473205995149977,0.8203487023252936,0.008654281391432393,0.012215309171204556
EAP,0.0012837205784272264,0.8319048201439205,0.8018825569298543,0.00831670981635073,0.007020615005624249
TEA,0.001282481134371874,0.8297809107761946,0.7993742138084585,0.008357524594525274,0.007020615005624249
EMU,0.002275600399686853,0.9978697113174227,0.9973992959077798,0.005661987240704443,0.04430396015877431
ECS,0.000826635193342387,0.964388360000378,0.9659063033201495,0.014959024162419302,0.03723612450965155
ECA,0.0006165851623328258,0.927256122001333,0.9295708248416262,0.02362202721709055,0.009583940024256275
TEC,0.0006351707475411895,0.9304116634968306,0.9335739556394189,0.021822049499245804,0.01140939944643587
EUU,0.0018392891202527546,0.9909269912720207,0.9961192108806408,0.0056202058222920735,0.049128978562294465
FCS,0.0005587501066084757,0.5550531385246243,0.438809324586032,0.016324359402637587,0.0014533661856491575
HPC,0.0003112702683613305,0.4948195578545991,0.3392587329609771,0.011543097289468066,0.002142517130450004
HIC,0.0010954339734468338,0.9906759157994008,0.9903882926765254,0.016678872431164015,0.03226544483231657
IBD,0.0010537260657156777,0.8585371548813329,0.8346150034886337,0.011249608511164898,0.005496837814265113
IBT,0.0010074097874601977,0.8025770110442189,0.7683261158635425,0.010706438434413986,0.00494788704088495
IDB,0.001768069395865377,0.6877392846726037,0.6408849533511569,0.006621078440699821,0.0004779048092440892
IDX,0.0005144603532825653,0.5694952116665161,0.48799268203868396,0.010170137663126475,0.002044494783891979
IDA,0.0008231491899032461,0.6088179791898444,0.5388379133309484,0.008992243408494723,0.0008991324267745238
LTE,0.000656555191925645,0.8711191536294711,0.8489803804717726,0.015621048004785722,0.009701653830885516
LCN,0.00026380296304029784,0.9017774165819827,0.9100876004320249,0.04288895556337918,0.012672456933446248
LAC,0.0002462184593130174,0.8992926601958041,0.9074353113851497,0.04163814778712881,0.012589561483837958
TLA,0.0002556117564314759,0.9015158504507177,0.9092731371059166,0.04387375910829378,0.0126359065597319
LDC,0.0004757161750078582,0.5410357961086497,0.45353828566795973,0.009789747836636243,0.0020026955691849965
LMY,0.0010250563626395535,0.8018899626285103,0.7675005481799037,0.010446932098266366,0.0048094143645176736
LIC,0.00037068544355435475,0.49970311097007036,0.34560727404892094,0.009234672110188202,0.008935263076260328
LMC,0.0020090494134482138,0.7900582273069262,0.7615784473445172,0.005889153785159737,0.0013259255956215511
MEA,0.015487316121274686,0.8844124804928732,0.8716512935722497,0.0010779309188363316,0.0033147821617590368
MNA,0.014245318658591357,0.8724792564026715,0.8581257256158197,0.0012270461673909827,0.0032554397455225675
TMN,0.014275855172988178,0.8735891476514872,0.8581340375862461,0.0012370239556633673,0.0032554397455225675
MIC,0.0010869494340735176,0.8314289766802684,0.8087461197406973,0.010580171744952556,0.004804099455690054
NAC,0.001033155165845502,0.9893876838798732,0.9906614989769387,0.03066116629206058,0.021629459324305503
INX,0.011442531644953947,0.7777432493169902,0.7911033729066579,0.024364617139691177,0.03212150030497252
OED,0.00113134274432026,0.9813745592610138,0.9826235881462299,0.015738952271665396,0.02958855603052132
OSS,0.00022159856479629685,0.8305684991973618,0.7554955505286348,0.03595413853994071,0.008317977603736513
PSS,0.011442531644953947,0.8609157501244609,0.8540269581494816,0.09389895072180868,0.028617603062153205
PST,0.0011504945038732272,0.9913092204217869,0.9902002185452565,0.015591606950501899,0.0317177465850201
PRE,0.0005576858070476347,0.5108258149220646,0.38165267938938846,0.008638661712199803,0.0025934626225858027
SST,0.0001680242592508852,0.853184843326007,0.7963455936472992,0.051251630744129806,0.008562435955069047
SAS,0.005776327460903748,0.8219438113150529,0.8069997597932695,0.0022303942269075233,0.001102509373729648
TSA,0.005776327460903748,0.8219438113150529,0.8069997597932695,0.0022303942269075233,0.001102509373729648
SSF,0.0003561133762898068,0.524260461185174,0.3829930345229248,0.007941586059741377,0.0025934626225858027
SSA,0.0003561133762898068,0.5242137910601844,0.38293275581906394,0.007941586059741377,0.0025934626225858027
TSS,0.0003561133762898068,0.524260461185174,0.3829930345229248,0.007941586059741377,0.0025934626225858027
UMC,0.0007016793632575457,0.875826076886469,0.85937732060133,0.015907000619389954,0.009356376897620543
WLD,0.0010407445063108926,0.8331974169189206,0.8047918992538025,0.011443931667023408,0.012611132938536898
AFG,0.0048115326107398375,0.29838709677419356,0.2466960153902192,0.002897730970031398,0.0002689795835111427
ALB,0.0005431333498991747,0.9539170506912442,0.8547159495010377,0.017497094570107796,0.0061339246342472925
DZA,0.008379221241373405,0.8582949308755761,0.8940165940780082,0.0005649773567244856,0.013244579346386568
ASM,0.011442531644953947,0.9988479262672811,0.9856464842217332,0.024364617139691177,0.03212150030497252
AND,0.011442531644953947,1.0,1.0,0.007223008591142523,0.03212150030497252
AGO,5.1054530392595054e-05,0.3778801843317972,0.26760349491784335,0.011125673717705226,0.09537827265909218
ATG,0.0024728276590302396,0.9746543778801843,0.9720319895873127,0.0010136847051043355,0.06783109390403681
ARG,0.0014457375937759144,0.9688940092165899,0.9909248425857428,0.01308597547467148,0.007490632239908367
ARM,0.0047965695822384784,0.9481566820276498,0.9609181465907829,0.004490040784465033,0.0019763647856536936
ABW,0.011442531644953947,0.9516129032258064,0.9507265428918418,0.024364617139691177,0.03212150030497252
AUS,0.00036210233276734173,1.0,0.9975668139591876,0.04083858950600054,0.05031959965493407
AUT,0.0007082691510036331,1.0,1.0,0.01230856104395952,0.07715423740822688
AZE,0.016506350573570076,0.7523041474654378,0.7495205911285591,0.0016469264548568767,0.002636843282785512
BHS,0.011442531644953947,0.9688940092165899,0.9776258732796436,0.0035496152126998602,0.03212150030497252
BHR,1.0,1.0,0.9993804312644349,5.803845683858476e-06,0.05570379054051107
BGD,0.003821070309626729,0.7672811059907834,0.9471963651179658,0.001272028785632044,0.0020505037277145795
BRB,0.011329548297222769,0.9815668202764978,0.9807405587281323,0.000535984432660078,0.036776353756728525
BLR,0.000507244652067671,0.9942396313364056,0.9748533799651448,0.006777244850359151,0.02620552721726078
BEL,0.005598328141839945,1.0,1.0,0.002034352625794598,0.05460480727529806
BLZ,7.17562216927834e-05,0.8974654377880183,0.8886813143125651,0.08550309447184501,0.009968859099325846
BEN,0.00013893878909023225,0.6578341013824884,0.548854202109465,0.001997255309871382,0.04380640688482903
BMU,0.011442531644953947,0.7777432493169902,0.9994742713047566,0.024364617139691177,0.03212150030497252
BTN,4.617947056346106e-05,0.8894009216589862,0.853262612561725,0.19542960987509847,0.0031713374065670584
BOL,7.467873167689914e-05,0.8029953917050692,0.8063361414450383,0.0559207114515526,0.006581696373937165
BIH,0.0001014036870528305,0.9804147465437788,0.960564679432271,0.018357833194129574,0.03455171620574656
BWA,0.0009023650039469328,0.945852534562212,0.7339380886382773,0.002167100362615331,0.05633577311698683
BRA,0.0001456221107668827,0.9447004608294931,0.9406357631091936,0.05324985268944348,0.020567197542615073
