CountryCode,ER.H2O.FWTL.ZS,SH.H2O.SAFE.ZS,SH.H2O.BASW.ZS,ER.H2O.INTR.PC,ER.GDP.FWTL.M3.KD
ARB,0.025260808077620663,0.8088075878018064,0.752097678842902,0.000573076025587509,0.0028236498481019738
CSS,0.00010483082636458512,0.8879171791371969,0.895593642132912,0.09909377778563848,0.009344903429005711
CEB,0.0015639257323527037,0.9032441176976336,0.9851992189478156,0.004541645363117301,0.02541228987110626
EAR,0.0016867156106291977,0.6935651453651256,0.768214390877318,0.007608621286180619,0.0024154354864603864
EAS,0.001265756144544583,0.6681496264960229,0.7529081235485207,0.008654281391432393,0.012215309171204556
EAP,0.0012837205784272264,0.6375309017245369,0.7322499581756099,0.00831670981635073,0.007020615005624249
TEA,0.001282481134371874,0.6328593964930841,0.7288173790667988,0.008357524594525274,0.007020615005624249
EMU,0.002275600399686853,0.9949965071072696,0.9964018621416793,0.005661987240704443,0.04430396015877431
ECS,0.000826635193342387,0.948128738168735,0.9599069148622876,0.014959024162419302,0.03723612450965155
ECA,0.0006165851623328258,0.8883518531345795,0.9195687406887162,0.02362202721709055,0.009583940024256275
TEC,0.0006351707475411895,0.8932953866358917,0.9195687406887162,0.021822049499245804,0.01140939944643587
EUU,0.0018392891202527546,0.9756548051610876,0.9971346799424642,0.0056202058222920735,0.049128978562294465
FCS,0.0005587501066084757,0.5251056955675392,0.4041769408583059,0.016324359402637587,0.0014533661856491575
HPC,0.0003112702683613305,0.3687812229310426,0.28866072811885257,0.011543097289468066,0.002142517130450004
HIC,0.0010954339734468338,0.9856614335725518,0.9903882926765254,0.016678872431164015,0.03226544483231657
IBD,0.0010537260657156777,0.7072048080207178,0.7899648443582976,0.011249608511164898,0.005496837814265113
IBT,0.0010074097874601977,0.6681006561598686,0.7279749486448475,0.010706438434413986,0.00494788704088495
IDB,0.001768069395865377,0.5855315553741256,0.6042476239976925,0.006621078440699821,0.0004779048092440892
IDX,0.0005144603532825653,0.4560774706879505,0.4496025673192226,0.010170137663126475,0.002044494783891979
IDA,0.0008231491899032461,0.5009263037915104,0.50131623899124,0.008992243408494723,0.0008991324267745238
LTE,0.000656555191925645,0.7039326213367281,0.7880175227695959,0.015621048004785722,0.009701653830885516
LCN,0.00026380296304029784,0.8257506437108917,0.8857577010904264,0.04288895556337918,0.012672456933446248
LAC,0.0002462184593130174,0.821572533588174,0.8826958598043995,0.04163814778712881,0.012589561483837958
TLA,0.0002556117564314759,0.8247921683350864,0.8843569984819993,0.04387375910829378,0.0126359065597319
LDC,0.0004757161750078582,0.4285282085219435,0.41416874072509685,0.009789747836636243,0.0020026955691849965
LMY,0.0010250563626395535,0.6662937189312303,0.7288482619638044,0.010446932098266366,0.0048094143645176736
LIC,0.00037068544355435475,0.3831504500491349,0.2996403288263552,0.009234672110188202,0.008935263076260328
LMC,0.0020090494134482138,0.6483770433636337,0.7291624988538086,0.005889153785159737,0.0013259255956215511
MEA,0.015487316121274686,0.8550878356975622,0.8586335411518099,0.0010779309188363316,0.0033147821617590368
MNA,0.014245318658591357,0.8461599280442386,0.8441801374737046,0.0012270461673909827,0.0032554397455225675
TMN,0.014275855172988178,0.8461599280442386,0.8440272045251555,0.0012370239556633673,0.0032554397455225675
MIC,0.0010869494340735176,0.6879140333878963,0.7677729754844986,0.010580171744952556,0.004804099455690054
NAC,0.001033155165845502,0.9831826072788987,0.9906614989769387,0.03066116629206058,0.021629459324305503
INX,0.011442531644953947,0.7138502865533716,0.769468426079861,0.024364617139691177,0.03212150030497252
OED,0.00113134274432026,0.9648089848201741,0.9739749062915211,0.015738952271665396,0.02958855603052132
OSS,0.00022159856479629685,0.7710451647620414,0.7480004543199644,0.03595413853994071,0.008317977603736513
PSS,0.011442531644953947,0.8088040792291613,0.863529747704079,0.09389895072180868,0.028617603062153205
PST,0.0011504945038732272,0.992010663773143,0.9893828213902007,0.015591606950501899,0.0317177465850201
PRE,0.0005576858070476347,0.3914855020884032,0.32996144222492624,0.008638661712199803,0.0025934626225858027
SST,0.0001680242592508852,0.8042443984797684,0.7909369725053698,0.051251630744129806,0.008562435955069047
SAS,0.005776327460903748,0.673795603504553,0.7813076852871577,0.0022303942269075233,0.001102509373729648
TSA,0.005776327460903748,0.673795603504553,0.7813076852871577,0.0022303942269075233,0.001102509373729648
SSF,0.0003561133762898068,0.3881624775779816,0.33240867835423665,0.007941586059741377,0.0025934626225858027
SSA,0.0003561133762898068,0.3880830072728249,0.3323368880250258,0.007941586059741377,0.0025934626225858027
TSS,0.0003561133762898068,0.3881624775779816,0.33240867835423665,0.007941586059741377,0.0025934626225858027
UMC,0.0007016793632575457,0.7241608679994274,0.8073418149383416,0.015907000619389954,0.009356376897620543
WLD,0.0010407445063108926,0.7244518971221577,0.7600157122770704,0.011443931667023408,0.012611132938536898
AFG,0.0048115326107398375,0.1970046082949309,0.12412339270776998,0.002897730970031398,0.0002689795835111427
ALB,0.0005431333498991747,0.9550691244239631,0.8508958364806246,0.017497094570107796,0.0061339246342472925
DZA,0.008379221241373405,0.902073732718894,0.8779474537484452,0.0005649773567244856,0.013244579346386568
ASM,0.011442531644953947,0.9262672811059908,0.981985295847885,0.024364617139691177,0.03212150030497252
AND,0.011442531644953947,1.0,1.0,0.007223008591142523,0.03212150030497252
AGO,5.1054530392595054e-05,0.37442396313364057,0.25261220208546675,0.011125673717705226,0.09537827265909218
ATG,0.0024728276590302396,0.9700460829493088,0.9790280641327748,0.0010136847051043355,0.06783109390403681
ARG,0.0014457375937759144,0.9285714285714285,0.9881292221417188,0.01308597547467148,0.007490632239908367
ARM,0.0047965695822384784,0.9147465437788018,0.9504398942142834,0.004490040784465033,0.0019763647856536936
ABW,0.011442531644953947,0.8963133640552995,0.9338116513129745,0.024364617139691177,0.03212150030497252
AUS,0.00036210233276734173,1.0,0.9968186142557227,0.04083858950600054,0.05031959965493407
AUT,0.0007082691510036331,1.0,1.0,0.01230856104395952,0.07715423740822688
AZE,0.016506350573570076,0.6440092165898617,0.717012790527221,0.0016469264548568767,0.002636843282785512
BHS,0.011442531644953947,0.9608294930875575,0.980587675747512,0.0035496152126998602,0.03212150030497252
BHR,1.0,0.9412442396313365,0.9987743314144262,5.803845683858476e-06,0.05570379054051107
BGD,0.003821070309626729,0.6324884792626727,0.9357051934908562,0.001272028785632044,0.0020505037277145795
BRB,0.011329548297222769,0.9550691244239631,0.9825099278958705,0.000535984432660078,0.036776353756728525
BLR,0.000507244652067671,0.9942396313364056,0.974818201015764,0.006777244850359151,0.02620552721726078
BEL,0.005598328141839945,1.0,1.0,0.002034352625794598,0.05460480727529806
BLZ,7.17562216927834e-05,0.6877880184331798,0.8507436370620602,0.08550309447184501,0.009968859099325846
BEN,0.00013893878909023225,0.5057603686635945,0.5203793788466177,0.001997255309871382,0.04380640688482903
BMU,0.011442531644953947,0.7138502865533716,0.9999296574447161,0.024364617139691177,0.03212150030497252
BTN,4.617947056346106e-05,0.6774193548387096,0.7714105800317576,0.19542960987509847,0.0031713374065670584
BOL,7.467873167689914e-05,0.6336405529953917,0.745575765063783,0.0559207114515526,0.006581696373937165
BIH,0.0001014036870528305,0.966589861751152,0.9567427841148561,0.018357833194129574,0.03455171620574656
BWA,0.0009023650039469328,0.9101382488479263,0.7221559610088488,0.002167100362615331,0.05633577311698683
BRA,0.0001456221107668827,0.8675115207373272,0.9244172982408831,0.05324985268944348,0.020567197542615073
VGB,0.011442531644953947,0.9400921658986174,0.9435868305592683,0.024364617139691177,0.03212150030497252
BRN,0.00011881753580757978,0.7138502865533716,0.994031848612432,0.040114772306553005,0.09949339689341606
BGR,0.003043495025962555,0.9988479262672811,0.996888184052279,0.005422730108034693,0.00565736584454538
BFA,0.0007300833136129515,0.3502304147465438,0.3599811217146189,0.0014230735284320344,0.00854280026211486
BDI,0.000318087177605492,0.6405529953917051,0.4288615611428102,0.0020364196891508846,0.005202881397695187
CPV,0.0008184252457720825,0.7972350230414748,0.7346260343433859,0.001101152793722516,0.053632372482715594
KHM,0.00020036135473338487,0.11751152073732718,0.42835327488889247,0.015397020148210828,0.004166712273603501
CMR,3.7299689552143605e-05,0.4389400921658986,0.4632088998161867,0.024429504231370847,0.01955493206030139
CAN,0.00015004878535760323,0.9976958525345622,0.9987990197231924,0.15472302410695146,0.02884689053385719
CYM,0.011442531644953947,0.9228110599078341,0.9534620142737028,0.024364617139691177,0.03212150030497252
CAF,3.4356788120125515e-06,0.5253456221198156,0.42461288974347605,0.059238525679895036,0.012233422749632081
TCD,0.0006539779328677541,0.3064516129032258,0.2674424982224208,0.0022273254544902736,0.009604563665247918
CHI,0.011442531644953947,0.7138502865533716,0.9297426538067514,0.024364617139691177,0.03212150030497252
CHL,0.00044573904262137383,0.8894009216589862,0.9431185043324457,0.0964548968370698,0.004505597093497469
CHN,0.0023458854832457436,0.6186635944700462,0.7297878462661057,0.003929019147658838,0.0077904905608562535
COL,5.909327951343808e-05,0.8663594470046083,0.880424321280656,0.08631727764789066,0.01772786965861178
COM,9.094734159004784e-05,0.8859447004608294,0.8366348498137777,0.0031274730296944023,0.03928612674999148
COD,6.181864905151789e-06,0.3502304147465438,0.2118129360944336,0.02461497068462565,0.026978747896133984
COG,0.0,0.6451612903225806,0.481752595698177,0.09039165822014848,0.20699095872111942
CRI,0.00023043425537126345,0.9182027649769586,0.9263291002740393,0.04580494704795136,0.011921371119566801
CIV,0.00022329726395955494,0.7223502304147466,0.6620739986425658,0.006768117976695295,0.013105482575669996
HRV,0.00019637547994487916,0.9792626728110599,0.9821017562397493,0.016666086181316035,0.057865951480627155
