CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
ARB,0.11850189509066372,0.00909884030727062,0.04957856667469503,0.05324828703445749,0.003631801503142568,0.05717465879736672
CSS,0.003517339743000787,0.06754951868799978,0.0012230378510271742,0.0025739920270716064,0.012208720740989002,0.0007594310558622735
CEB,0.007419198775810835,0.02226852428355658,0.011467185633786814,0.019588030585955683,0.008370164676892649,0.015988278945538066
EAR,0.24435815601011365,0.018296784342231923,0.515198051334963,0.2468605840649938,0.0036571535991388507,0.34291311438120775
EAS,0.1976697805795439,0.022689953816817293,0.28878938461154346,0.19331157498332074,0.009786001497803617,0.31755736301556886
EAP,0.12356175844687464,0.029243029101898098,0.2826911332945696,0.14045178218188603,0.011573611708148204,0.2677660372744715
TEA,0.12249834947510103,0.029226345153905067,0.2797760369303637,0.13978249872119378,0.011637859505524446,0.2639427241639172
EMU,0.019455655492251835,0.03432653886033749,0.02411827895006662,0.10764776856892572,0.04184247621226891,0.06400692504979967
ECS,0.19736948724344194,0.020525566778703406,0.07782334192202121,0.2373339129914057,0.006747767884462999,0.15937532102345642
ECA,0.16413545090087642,0.014097051595821175,0.042640261715321426,0.08581190782079369,0.0009051516781723412,0.06670669621203248
TEC,0.16662073925425186,0.014144013411856185,0.04706254604715216,0.0942160737421568,0.0010580919245675802,0.07241705888802356
EUU,0.03071695349015172,0.033051261678504605,0.037894695033224374,0.15096840460184416,0.03445702522070048,0.09467051014141901
FCS,0.10977956009884927,0.010425025317653611,0.08575168150700346,0.023278842517374485,0.00134936901866894,0.050023257170558943
HPC,0.12413925735861352,0.007912029823070333,0.1397604537794385,0.018300096611890557,0.0006469288646024421,0.06226416246092181
HIC,0.29392162419321827,0.023134304032570507,0.06429713871514052,0.48719339335623285,0.008724848789880594,0.2337853098183411
IBD,0.5495563813483777,0.01678197153948584,0.6441513689194036,0.4764769429188608,0.004353363564416871,0.6131244393162351
IBT,0.7144547898526313,0.01572719795791232,0.9352403309516196,0.5226230106463278,0.0036104187493272225,0.7499101540624821
IDB,0.03145171866243751,0.05464031624071176,0.08834400678924179,0.018752314079516347,0.03376515777222236,0.05213183805490361
IDX,0.13344668119568256,0.012553444129043254,0.20274495524297423,0.027393753647951997,0.0010735149616771127,0.08465339496332784
IDA,0.16489840418118692,0.012046316461018333,0.291088962032216,0.04614606772746835,0.001017737371208982,0.13678547388223922
LTE,0.34982557304740985,0.016899626588506172,0.26635493903895535,0.26521638642728773,0.004938314850396231,0.33425143607882835
LCN,0.16214747155594836,0.01712233396165971,0.03756749305767423,0.1273683795159628,0.0027342448381307612,0.12507215214820963
LAC,0.1541402133506846,0.01678969070792232,0.036398087929727534,0.11922266232461773,0.0026551393743566823,0.11925712934289126
TLA,0.16112442380853303,0.015790960764341597,0.03661973586558002,0.12195828790795951,0.0025755649072432044,0.12186337822549177
LDC,0.1344683129009806,0.011198222082967663,0.19314669745180368,0.019783794748437854,0.0008744776139135406,0.0749753072985783
LMY,0.7056219106040879,0.015959351437140765,0.9338216528786133,0.5113422016470374,0.0036095322062232992,0.7462306804677217
LIC,0.07779911000165049,0.05464031624071176,0.13113802248850637,0.01094377108947371,0.03376515777222236,0.04900488017272742
LMC,0.16972298319253804,0.02383426964828218,0.5325418038612959,0.14143720302913287,0.004317548569217131,0.2888154398956151
MEA,0.09519423492135393,0.010810342409841665,0.045325012682212236,0.07199864087386953,0.004665065432168411,0.06836729934292256
MNA,0.07435659782272877,0.0110244568552911,0.04281650412892814,0.05322860030035513,0.0038648041713115343,0.05520431647153863
TMN,0.0743252449964039,0.0110315055295728,0.04249363746073504,0.052540740418546124,0.0038661252548205702,0.05437799127288565
MIC,0.6282792571589985,0.016907849059502014,0.8026836303901069,0.5018628355542907,0.003966088891056195,0.6972255594309865
NAC,0.15773298905830435,0.024447137551735512,0.019325184672513908,0.25586208177896724,0.00461852406221948,0.0723348532437415
INX,0.03855609279622606,0.05464031624071176,0.04181734223294758,0.03395709864256635,0.03376515777222236,0.03794639296356441
OED,0.29117347991430764,0.022291134999845034,0.07463800943243103,0.4990797881792727,0.008381093848109323,0.2553672515865426
OSS,0.012213139578014938,0.014346200540572191,0.0036023666358781666,0.004585129408115428,0.0020920953342505036,0.004261678155278505
PSS,0.0005658490320664068,0.04614748624899166,0.0004330188773679264,0.0006877186168010443,0.009788517178256897,0.0002210535639069321
PST,0.2670780023904625,0.022119341090476002,0.061577131772040314,0.46113999955057977,0.008747329266683626,0.22071275126848552
PRE,0.1363090264837243,0.008021060611406068,0.1548613839977383,0.022776826812718486,0.0009443940267367493,0.08187523423729882
SST,0.01629633699921578,0.027085163895987908,0.005258423364273267,0.00784684005198808,0.004571617475117191,0.005242644503063234
SAS,0.035041988211685464,0.03022442167770982,0.34463487777396723,0.07541421067995883,0.005237085813474751,0.14303150370931478
TSA,0.035041988211685464,0.03022442167770982,0.34463487777396723,0.07541421067995883,0.005237085813474751,0.14303150370931478
SSF,0.15484402249132195,0.005840340817742365,0.18465349687382124,0.038711199176514076,0.000548910882762622,0.09427629348281026
SSA,0.1548423411355327,0.00583397492776937,0.18464078803609907,0.038677443336154374,0.0005464665987354365,0.09426379313743424
TSS,0.15484402249132195,0.005840340817742365,0.18465349687382124,0.038711199176514076,0.000548910882762622,0.09427629348281026
UMC,0.4585562696433945,0.014476140493526862,0.27014182652881075,0.3604256325251592,0.0038426994001893983,0.4084098786713637
WLD,1.0,0.0181060391347247,0.9981187915937538,1.0,0.005142564191069336,0.9800162311500706
AFG,0.03855609279622606,0.05464031624071176,0.007295187342998334,0.03395709864256635,0.03376515777222236,0.0022367292274433036
ALB,0.0002387087943119564,0.08276789578335479,0.00036198208576655223,0.00046548869922236855,0.01320140521778227,0.00041040123004987706
DZA,0.020445407058886877,0.0002967081548484671,0.003443343903783283,0.00831997781511694,0.000381956508668514,0.007002181407731129
ASM,7.796385991784023e-07,0.039430689367554624,2.0969965766530885e-06,3.200795746257422e-05,0.061018548552842784,1.1784706128214475e-05
AND,0.03855609279622606,0.05464031624071176,3.4257631187529074e-06,0.03395709864256635,0.03376515777222236,1.624764304728986e-05
AGO,0.011165155203394422,0.002202269757441308,0.004598547396782461,0.0003931955884396753,0.0001912539593202951,0.0030470672638161517
