CountryCode,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.KD.ZG,AG.LND.ARBL.ZS,ER.FSH.CAPT.MT,AG.PRD.CREL.MT,AG.YLD.CREL.KG,AG.PRD.CROP.XD,TX.VAL.FOOD.ZS.UN,TM.VAL.FOOD.ZS.UN,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,AG.LND.EL5M.ZS,AG.LND.CREL.HA,ER.FSH.PROD.MT
ARB,0.054447649184239826,0.43540443368657084,0.37163376486651045,0.056619636783109245,0.0233325013396958,0.012688161207658474,0.01854369316032014,0.14606111645319603,0.020282019947879634,0.3055316712114645,0.07068673991527417,0.03553219019694077,0.010455932454273651,0.03447184720803505,0.012876201115621561
CSS,0.054447649184239826,0.06768842763307155,0.3531564991461782,0.0269102826476201,0.0018184780243654364,0.0002396154466403396,0.048013595500125295,0.18717717267426762,0.15502204914705986,0.26544719250873094,0.08457253483654932,0.8665662350161136,0.07158158328336933,0.00025839625898729644,0.0009084508642912324
CEB,0.054447649184239826,0.5893092406734897,0.3449328698001886,0.5229864387326261,0.006315711847134941,0.022525564590022206,0.03484041532796551,0.16523850349655236,0.06060732340462774,0.10227404574596717,0.07895836006445874,0.3284578938448825,0.025301862997791524,0.033256525623164314,0.0034621224598032473
EAR,0.054447649184239826,0.44928231464235624,0.4044445665350668,0.17409727606663186,0.3270677350834596,0.2155711533472224,0.033456716365829677,0.1565276524024128,0.0998311089456069,0.1733310791755249,0.07454748591188566,0.23308156147133416,0.019530539158566652,0.33110172974051016,0.183029194101481
EAS,0.054447649184239826,0.5636105190625949,0.41284497567832495,0.1358600410469712,0.39931486434134994,0.22727248105963416,0.05311013285731646,0.1536423675639715,0.051875666875544235,0.103679623310681,0.07273286831402603,0.25965137673870203,0.02635849279314727,0.22193991753152384,0.36448684458159364
EAP,0.054447649184239826,0.5317392046650048,0.4081250952478878,0.16006959820622507,0.30360743845573807,0.20679518275351105,0.05577377090789427,0.15090661466557395,0.07108119821742945,0.08199955622127739,0.07086002374764563,0.28827292839145807,0.03355464723419393,0.1924440066087263,0.30733278141823206
TEA,0.054447649184239826,0.5340212775424353,0.4081250952478878,0.15928148941067036,0.3013658138934211,0.20575136954599346,0.055995105425768514,0.1508726585364278,0.07108119821742945,0.08199955622127739,0.0708507688252006,0.28604181085048874,0.03356437577771912,0.1907271213145096,0.3039277340542649
EMU,0.054447649184239826,0.5212079850085117,0.38952658629907677,0.356791860542455,0.041719966653967204,0.06571938002046811,0.07165737595279624,0.18591386336942206,0.07851978199657696,0.14351810147044086,0.08819277170422599,0.36923195270649517,0.050839940271636776,0.047761419678611895,0.025381758934638884
ECS,0.054447649184239826,0.32994220088928455,0.4055451887585032,0.17619543384571057,0.1832124090670066,0.15384088999379944,0.0380251155242219,0.17018124084020514,0.07096234958966417,0.14619827555103443,0.08325812867616042,0.3790119095279962,0.02298026705664783,0.20852314444767708,0.09763582307068597
ECA,0.054447649184239826,0.31051079663138254,0.4322084987149092,0.1502355923589623,0.05316535389945486,0.05961566313046299,0.022720708319802566,0.14923775133354292,0.04608641688937811,0.21111974612157727,0.07560886764675578,0.38886941590141405,0.014270793808631485,0.13326799879632806,0.026350553375363298
