CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
ARB,0.0676075574778056,0.06958308866705813,0.0547225604340676,0.022582359192348564,0.17439188894043667
CSS,0.015023901661734578,0.01790957134468585,0.09611919202277308,0.023047290116896917,0.241000991282918
CEB,0.029592533576143866,0.014679976512037582,0.3285419029705593,0.004250797024442083,0.5122529107603926
EAR,0.373321192806738,0.405460951262478,0.06574138221532204,0.38781880977683314,0.2608476688409622
EAS,0.2497154564079217,0.26952436876101,0.16922065150554935,0.23346174282678003,0.28698200428357606
EAP,0.16753926701570682,0.21403405754550792,0.023593364450191924,0.18105738575982996,0.28839274474421195
TEA,0.16071022080582745,0.21197886083382267,0.023768418168308974,0.18012752391073325,0.29019800983219723
EMU,0.042112451627589344,0.029359953024075163,0.3159844654200578,0.035334750265674814,0.4707893322952682
ECS,0.1452310493967676,0.10275983558426306,0.12958502123718543,0.06854410201912858,0.23285956004548758
ECA,0.08376963350785341,0.056664709336465065,0.09188733567760099,0.029556323060573857,0.18108872208255503
TEC,0.08627361711814249,0.05813270698766882,0.09757281634591795,0.030220510095642934,0.18596597855752442
EUU,0.06669701798315501,0.042278332354668234,0.28859428161412265,0.03998405951115834,0.4635760306596811
FCS,0.12997951286137036,0.14533176746917206,0.03117663743248225,0.07418969181721573,0.17019587003435593
HPC,0.16731163214204417,0.22431004110393424,0.052768112357168294,0.2015807651434644,0.2705540498559078
HIC,0.20737536990666972,0.1529653552554316,0.2365938978286431,0.14426142401700318,0.28915657167623227
IBD,0.47416344183928977,0.4682912507339988,0.0926295728393684,0.5771785334750266,0.27467890325501754
IBT,0.761438652401548,0.8335290663534939,0.07906845177367637,0.8450451647183846,0.2683653263320885
IDB,0.05827452765763715,0.07017028772753964,0.041965230821989136,0.07857332624867162,0.2646400182938083
IDX,0.229000682904621,0.2950675278919554,0.04378262113695952,0.1892933049946865,0.24805654976390967
IDA,0.28727521056225813,0.36523781561949503,0.043377953189959816,0.26786663124335813,0.25174909621848846
LTE,0.2729342135215115,0.23135642982971227,0.09962273977874826,0.28752656748140276,0.30160510215939723
LCN,0.2301388572729342,0.18261890780974752,0.15498952836815655,0.33926673751328373,0.4290149566585714
LAC,0.21056225813794674,0.1650029359953024,0.16096681802164506,0.3238575982996812,0.4361960570291152
TLA,0.22080582745276575,0.1717557251908397,0.1555983426357408,0.3187433581296493,0.43033330043107093
LDC,0.20122922831777829,0.26746917204932474,0.04134356881201805,0.1600690754516472,0.23737678416608848
LMY,0.7521056225813795,0.8235466823253083,0.0779117683731377,0.8459750265674814,0.26672061202564057
LIC,0.13635328932392443,0.18173810921902525,0.03458850334197727,0.1303134962805526,0.28056499177755945
LMC,0.28272251308900526,0.34321785085143863,0.048041653267987046,0.2699920297555792,0.21467932033975484
MEA,0.06351012975187799,0.06576629477392835,0.03747172191406999,0.01926142401700319,0.21545017956325163
MNA,0.04302299112223993,0.04932472108044627,0.037757657248877564,0.017800212539851222,0.12598437441282637
TMN,0.04006373776462554,0.04844392248972402,0.037757657248877564,0.0176009564293305,0.12598437441282637
MIC,0.61962212610972,0.6447445684086905,0.0855243467411699,0.716192879914984,0.2645986853765917
NAC,0.021170043250625995,0.015560775102759836,0.16383725309658825,0.031880977683315624,0.21405704928026176
INX,0.03980419951851773,0.0420492357515259,0.09213355631716434,0.041331302531156536,0.282741153013328
OED,0.14796266788071932,0.12742219612448621,0.2428285802675992,0.12048352816153028,0.25927730176415115
OSS,0.05850216253129979,0.06694069289489137,0.14021288725887437,0.04350425079702444,0.5361667057971097
PSS,0.01912132938766219,0.014973576042278332,0.027715013057527316,0.0070403825717322,0.07271704078853825
PST,0.1393125426815388,0.09864944216089254,0.2494865206948116,0.09969447396386823,0.2588629620657935
PRE,0.15524698383792396,0.22313564298297123,0.05067037133525872,0.20231137088204038,0.2432102401294673
SST,0.09264739358069657,0.09982384028185555,0.12990977676500498,0.07359192348565356,0.47453049302483136
SAS,0.054177099931709535,0.07369348209042866,0.0229401876163673,0.04994686503719448,0.12154260425638987
