CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
ARB,0.11850189509066372,0.009107598408234654,0.026974525176383653,0.05324828703445749,0.003629240148546173,0.018438613327840032
CSS,0.003517339743000787,0.06754951868799978,0.0010023437122951614,0.0025739920270716064,0.012208720740989002,0.0005212674564349002
CEB,0.007419198775810835,0.022207559823131193,0.013259919748932276,0.019588030585955683,0.008360142446689952,0.015300571231665422
EAR,0.24435815601011365,0.01823679829524385,0.32555449916058626,0.2468605840649938,0.0036478435991075648,0.1212977570277513
EAS,0.1976697805795439,0.022843237262917596,0.32936384803214497,0.19331157498332074,0.009800892235592738,0.1051481630135592
EAP,0.12356175844687464,0.029482848546719984,0.31532706421632795,0.14045178218188603,0.011597689276286285,0.07200687145581974
TEA,0.12249834947510103,0.029468050086362926,0.3131043139293797,0.13978249872119378,0.011662325439352176,0.06953413001633386
EMU,0.019455655492251835,0.03418235710010138,0.02682753686808658,0.10764776856892572,0.03978131360693897,0.052500317276872654
ECS,0.19736948724344194,0.01999372213297502,0.08220555025371608,0.2373339129914057,0.006487633543896738,0.12757607678573132
ECA,0.16413545090087642,0.01409466252275707,0.043648043811816646,0.08581190782079369,0.0009049062441971649,0.050909774533065014
TEC,0.16662073925425186,0.014141628790227739,0.04804694226553333,0.0942160737421568,0.0010577385529763614,0.056040823761571275
EUU,0.03071695349015172,0.03292870841498016,0.042554365690943424,0.15096840460184416,0.033059008822495003,0.07949735224515844
FCS,0.10977956009884927,0.01032675245410733,0.04366053463033929,0.023278842517374485,0.001357711187901218,0.013919336579155285
HPC,0.12413925735861352,0.007751036518151698,0.06346512582143196,0.018300096611890557,0.0006434927215939386,0.014024788828260689
HIC,0.29392162419321827,0.022790616262676755,0.07482510530791991,0.48719339335623285,0.008558015732233233,0.16296200958109894
IBD,0.5495563813483777,0.01684500846944737,0.5710401135177293,0.4764769429188608,0.004363019648416878,0.2379261653727447
IBT,0.7144547898526313,0.0157479847469638,0.7190121669257776,0.5226230106463278,0.0036176133924499423,0.27193756499791294
IDB,0.03145171866243751,0.05462396786353767,0.04593696690857682,0.018752314079516347,0.03374805978502711,0.01373119248811092
IDX,0.13344668119568256,0.012391547297031177,0.10203508649947143,0.027393753647951997,0.001068650977544314,0.020279725409041834
IDA,0.16489840418118692,0.011915957997308371,0.14797205340804825,0.04614606772746835,0.001013825841020366,0.034011158761160516
LTE,0.34982557304740985,0.016994141759710788,0.31684842520203643,0.26521638642728773,0.004948515742152253,0.12968595436270333
LCN,0.16214747155594836,0.017138530028477983,0.038355005548087094,0.1273683795159628,0.002745796932919364,0.05798707745180249
LAC,0.1541402133506846,0.016807309731471272,0.036906361488406515,0.11922266232461773,0.0026674425283520512,0.05439092790492315
TLA,0.16112442380853303,0.015802356154149193,0.03703775950631343,0.12195828790795951,0.0025872243627290403,0.055658170313528973
LDC,0.1344683129009806,0.011051837069761952,0.09627758178520451,0.019783794748437854,0.0008713729840680789,0.01662083451284169
LMY,0.7056219106040879,0.01598193454853851,0.7166951706856235,0.5113422016470374,0.0036168631245091566,0.26800426022080387
LIC,0.07779911000165049,0.05462396786353767,0.0599076221674641,0.01094377108947371,0.03374805978502711,0.011895402011600194
LMC,0.16972298319253804,0.02402850471580143,0.3308286252175704,0.14143720302913287,0.0043415729455936235,0.09921445235775221
MEA,0.09519423492135393,0.010820565104350218,0.027655490002384434,0.07199864087386953,0.004661722555207461,0.022870052187475655
MNA,0.07435659782272877,0.011039507656800965,0.026253443637595412,0.05322860030035513,0.003868498009260768,0.01955864437285662
TMN,0.0743252449964039,0.01104656464979266,0.026253443637595412,0.052540740418546124,0.0038698212602849627,0.01955864437285662
MIC,0.6282792571589985,0.01696232433897673,0.6567875485181593,0.5018628355542907,0.003974610435462685,0.2561086173451959
NAC,0.15773298905830435,0.0244429254421183,0.019370674570255025,0.25586208177896724,0.004620833822556352,0.04623910382971192
INX,0.03855609279622606,0.05462396786353767,0.032398914143196095,0.03395709864256635,0.03374805978502711,0.015659479372201763
OED,0.29117347991430764,0.022266881988169583,0.0861795626247509,0.4990797881792727,0.008196833670333777,0.1727795192660774
OSS,0.012213139578014938,0.014334968563509649,0.00246489645284326,0.004585129408115428,0.0020432116518046485,0.0013093129081058674
PSS,0.0005658490320664068,0.04332957713283868,0.0002988267324804971,0.0006877186168010443,0.009548858647214272,0.0001010126536468743
PST,0.2670780023904625,0.02209530826910352,0.07616069534943186,0.46113999955057977,0.008545047352494492,0.1618890478328404
PRE,0.1363090264837243,0.007938201665908045,0.07284134772648296,0.022776826812718486,0.0009502486326479541,0.017945657076540136
SST,0.01629633699921578,0.02696769372669602,0.0037660668976189186,0.00784684005198808,0.004523267036969803,0.0019320747462031657
SAS,0.035041988211685464,0.03022442167770982,0.20621946556661555,0.07541421067995883,0.005237085813474751,0.04985714468682248
TSA,0.035041988211685464,0.03022442167770982,0.20621946556661555,0.07541421067995883,0.005237085813474751,0.04985714468682248
SSF,0.15484402249132195,0.0057201387580230545,0.0883502420203402,0.038711199176514076,0.0005463453632379614,0.021287447526760928
SSA,0.1548423411355327,0.005713769832804644,0.0883407919648614,0.038677443336154374,0.0005439010144283385,0.021279692947278047
TSS,0.15484402249132195,0.0057201387580230545,0.0883502420203402,0.038711199176514076,0.0005463453632379614,0.021287447526760928
UMC,0.4585562696433945,0.01448177669697501,0.32595892330058895,0.3604256325251592,0.0038457900628333804,0.15689392412343595
WLD,1.0,0.018014165471904233,0.7915202759935434,1.0,0.005094260451252993,0.4309665106659106
AFG,0.03855609279622606,0.05462396786353767,0.003295628078103257,0.03395709864256635,0.03374805978502711,0.000515624534191202
ALB,0.0002387087943119564,0.08276789578335479,0.0005221477222984016,0.00046548869922236855,0.01320140521778227,0.00022376762947892863
DZA,0.020445407058886877,0.0002967081548484671,0.00322092744287703,0.00831997781511694,0.000381956508668514,0.0020905650015043114
ASM,7.796385991784023e-07,0.039430689367554624,2.4581000951988654e-06,3.200795746257422e-05,0.061018548552842784,5.749697010025626e-06
AND,0.03855609279622606,0.05462396786353767,8.443449918938013e-07,0.03395709864256635,0.03374805978502711,8.004382773404278e-06
AGO,0.011165155203394422,0.002202269757441308,0.0021137583883440174,0.0003931955884396753,0.0001912539593202951,0.00043805316308116374
ATG,1.4971882538476418e-06,0.1352831886945971,1.4166232641773777e-05,7.33686009028263e-05,0.25398270128768474,6.072256129698409e-06
ARG,0.024064505551451856,0.015137412473126565,0.0014189719121439977,0.015163259674126177,0.00258168223914096,0.005784499872639928
ARM,0.03855609279622606,0.05462396786353767,0.0003104678956653809,0.03395709864256635,0.03374805978502711,0.0005081525353689744
ABW,7.625653607140287e-08,0.0426779700361383,8.780951900323936e-06,4.7625483533486e-05,0.20830323123055888,7.290978346291186e-06
AUS,0.06835392987089456,0.010484860450058068,0.0006172217944394442,0.010124701661540423,0.0009999930885005181,0.0031284730906043943
AUT,0.03855609279622606,0.05462396786353767,0.0007708211883142075,0.03395709864256635,0.03374805978502711,0.0012255955317833419
AZE,0.03855609279622606,0.05462396786353767,0.0008569018947204875,0.03395709864256635,0.03374805978502711,0.000805827919905861
BHS,0.00010953204685421163,0.9423026277021724,1.6716968770325073e-05,0.00011734905688884097,0.042468830238920556,3.799865620182213e-05
BHR,1.0256453694354866e-06,0.22993323627801435,1.4757156128413638e-05,0.00015134491765877916,0.9403675330207572,7.670326742845544e-05
BGD,0.0011081906381305259,0.16309185342169763,0.020465961725924124,0.003065427008412449,0.028549896183264326,0.0030041619346314703
BRB,1.2812932647144256e-07,0.004489618120717867,4.4952372732302724e-05,0.00011582784988995813,0.020672073308921315,2.454652552502972e-05
BLR,0.0017716082625121893,0.0,0.001237575512860001,0.0021444922169747698,0.0,0.0013525959219872557
BEL,0.00016182796946533464,0.05029082078167292,0.00013435116024404378,0.003402636059863753,0.21719445891973502,0.002334859707339568
BLZ,0.00019048918818382598,0.10261687907326898,2.1530502274077434e-05,0.00013998698136781555,0.01755361366134458,1.7432842953524035e-05
BEN,0.0010189849753856938,0.016381235431610085,0.0007968259519953644,0.0003987490914070358,0.004085833496156528,0.00025210416258176105
BMU,1.9948048932143025e-07,0.1335962914568653,0.0,1.0639810085305888e-05,0.19955249542011166,1.3334430120422202e-05
BTN,0.03855609279622606,0.05462396786353767,0.00010848299045919956,0.03395709864256635,0.03374805978502711,1.0053465033250162e-05
BOL,0.03855609279622606,0.05462396786353767,0.0008995304011001881,0.03395709864256635,0.03374805978502711,0.0006306038239005207
BIH,0.0004413287279275809,0.0012942402453772386,0.0007948434228739365,0.000474786031130281,0.0025104808580441083,0.0003686649603997757
BWA,0.03855609279622606,0.05462396786353767,0.0002466882817214476,0.03395709864256635,0.03374805978502711,4.072613069796212e-05
BRA,0.07371973773814841,0.010286608150319019,0.012343276168256692,0.037191998936706994,0.001805594403980246,0.019696195351540734
VGB,9.508849389007079e-07,0.4833924991815923,2.50766332323456e-06,1.418196422570658e-05,0.06014408832212164,3.8041614421763157e-07
BRN,4.2427463096048114e-05,0.0021685613011206634,2.295042975345719e-05,0.00028023728783712617,0.011546392095412616,2.8602228451600595e-05
BGR,0.0009288285555921524,0.002352378701833343,0.0009908285223148685,0.0018402771891373113,0.0032957771381896977,0.001366231059647265
BFA,0.03855609279622606,0.05462396786353767,0.0018356366943754318,0.03395709864256635,0.03374805978502711,0.00014893366540143295
BDI,0.03855609279622606,0.05462396786353767,0.0011618411303061724,0.03395709864256635,0.03374805978502711,4.411511211851188e-05
CPV,3.5002624028640686e-05,0.05933777490848342,6.468030760579626e-05,4.970139585841089e-05,0.012390048293049613,1.6499432845094483e-05
KHM,0.0015769861880895835,0.04775639060353177,0.0017788838480824163,0.00031743283758438236,0.002785305901673423,0.00016423821411730078
