CountryCode,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.KD.ZG,AG.LND.ARBL.ZS,ER.FSH.CAPT.MT,AG.PRD.CREL.MT,AG.YLD.CREL.KG,AG.PRD.CROP.XD,TX.VAL.FOOD.ZS.UN,TM.VAL.FOOD.ZS.UN,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,AG.LND.EL5M.ZS,AG.LND.CREL.HA,ER.FSH.PROD.MT
ARB,0.054447649184239826,0.3477811282328827,0.41939892559853864,0.050147891798062325,0.010419321060986881,0.009434685203504394,0.014749143254191391,0.07825304790741547,0.020282019947879634,0.31546471385534375,0.032509800609894286,0.03724839078099393,0.010455055309243377,0.03186697238377541,0.005060050036561324
CSS,0.054447649184239826,0.06768295372700285,0.36450966664956563,0.02764134851182406,0.0007348476386774827,0.00021013286808660404,0.04233775572211757,0.1721030738143749,0.0837681950037626,0.2859187176343248,0.06923643403484973,0.8727369753853774,0.07158158328336953,0.0002563821083467133,0.00034873639113793713
CEB,0.054447649184239826,0.6997353989014514,0.3449328698001886,0.6220024091253524,0.00943990656332993,0.021060585880765703,0.04064239566621393,0.16523850349655236,0.06060732340462774,0.10227404574596717,0.07895836006445874,0.3229634401282874,0.025294840354780287,0.026745543171535633,0.004871024869565286
EAR,0.054447649184239826,0.39957406924835825,0.4363432058492481,0.1687641732378074,0.1490872126462451,0.1294058103498884,0.020989665478931215,0.08602294703238944,0.18723248225655006,0.2250179168476271,0.03816568443436119,0.24735685869171814,0.019467943750688988,0.31220608986749526,0.07617404679269729
EAS,0.054447649184239826,0.5232036650557116,0.37050455462437704,0.12046681878930703,0.25076014816682257,0.14873647239681334,0.03427553469988832,0.07100817637008988,0.09160690523519019,0.1564113747674994,0.027837168960563218,0.2605498096990374,0.02650586333874541,0.22312560351657007,0.14757984674780988
EAP,0.054447649184239826,0.4490421974008314,0.39040544634779634,0.13757021772235975,0.11142427937098592,0.13449861650063302,0.03563640264443409,0.06585143391996777,0.14087189598299693,0.1470877748878331,0.023600580436507614,0.2900730608429865,0.03378368168242306,0.19424195834727326,0.072339743816571
TEA,0.054447649184239826,0.45072928428990755,0.39040544634779634,0.13662925517046076,0.10250070887842999,0.1324576813901897,0.03550065988215812,0.06529871302453612,0.14087189598299693,0.1470877748878331,0.02335551199967182,0.2870294138068599,0.03379528253113181,0.192008787884796,0.06636735838773297
EMU,0.054447649184239826,0.5750119810535844,0.38952658629907677,0.37577647093120287,0.03982805082456326,0.04815224180683277,0.05008125900437293,0.15903636104816202,0.11457578584835651,0.22538952332197348,0.07869319691523761,0.3474867721286429,0.049842914517447816,0.04981882812022053,0.02199777758772397
ECS,0.054447649184239826,0.32994220088928455,0.4055451887585032,0.17619543384571057,0.13391016018927954,0.09017658445969101,0.04394911673923922,0.17018124084020514,0.11936390633752941,0.21387879699274734,0.08325812867616042,0.37682134464745126,0.022352065287970395,0.10606714668390828,0.06718787993966228
ECA,0.054447649184239826,0.31051079663138254,0.4322084987149092,0.1502355923589623,0.007261544513669652,0.01856069937239021,0.031120135816473295,0.14923775133354292,0.04608641688937811,0.21111974612157727,0.07560886764675578,0.3878948755589648,0.014270226018941259,0.03059103775629618,0.0036848545357418645
TEC,0.054447649184239826,0.3152256478118406,0.4292534265850327,0.15664328445925907,0.013917911072652644,0.025066284702086758,0.031000838143667588,0.1537106037668505,0.051591580110318294,0.19068628147408548,0.07606790961990072,0.38663256783928673,0.014378501615903276,0.041467879551679125,0.0068910995775347435
EUU,0.054447649184239826,0.5666879463601631,0.38368613711855865,0.39997832597195293,0.0823910376823233,0.08051488691381462,0.04812226132198296,0.16293285861943968,0.11402776271280393,0.22391242783744764,0.0811237407960773,0.3534651923766383,0.04588156657669433,0.08663326005378298,0.04269480202998556
FCS,0.054447649184239826,0.34530207540073626,0.4561792754091755,0.06434238417919656,0.014623475396464036,0.012626180629595635,0.01572744372700398,0.09611029775428262,0.07906085721012265,0.2705736251624779,0.04382656248461276,0.28113674139878125,0.010736965944083,0.04013008430032745,0.006974352336743908
HPC,0.054447649184239826,0.4009402610298754,0.3845996265293123,0.07764280406258355,0.01922274976324301,0.012825566337291717,0.011702930361342928,0.09082546945278876,0.39876769979035076,0.32093434414807115,0.042237823201043134,0.3222568454719546,0.007906704211680564,0.05382967158089989,0.009124865879786765
HIC,0.054447649184239826,0.4148714574817744,0.42895411190035293,0.15857186797020525,0.35409476037701704,0.1974371592792299,0.04378244209353892,0.13799074853395354,0.10858014015756298,0.19901987399321186,0.06673272040599096,0.28661610995042525,0.025950189381828647,0.2330952360994381,0.18147383734177147
IBD,0.054447649184239826,0.4046211878062814,0.41817635945941994,0.15015523947296266,0.24937057942572335,0.2473461688720723,0.026584508600369556,0.07813357811044325,0.16075017557046406,0.16675057813216063,0.03176220296002948,0.34878721543781077,0.018384913265759747,0.4750633352995815,0.1384329929076424
IBT,0.054447649184239826,0.41497674499020876,0.41624831975659987,0.13557584701150888,0.2896927437146547,0.2871454441457502,0.024689201802896583,0.07812219791524025,0.16335738872982705,0.1737209822071624,0.03241625160461644,0.33190050232261453,0.017000641838192044,0.5924276408377057,0.1581126404959493
IDB,0.054447649184239826,0.5444938657390488,0.418954042831282,0.16560411584852786,0.008036913928594267,0.010774424777310445,0.01702837766336981,0.06332026296832435,0.07578004038181022,0.3255260781712844,0.029657740989233336,0.2458025086661665,0.06756178436899898,0.03175363794315363,0.00387056991867914
IDX,0.054447649184239826,0.40473535893346857,0.39573330317455063,0.0919491711218508,0.03228522925524526,0.029024850496367473,0.017013385797585996,0.08691480653206053,0.27904274323252576,0.33644987240583435,0.03997005139195474,0.29943022511270756,0.012656585772397472,0.08561066759497063,0.015809067656667355
IDA,0.054447649184239826,0.43473452356575953,0.40063606080713743,0.10775922419240638,0.040322153736385424,0.039799275273677916,0.017017441939493998,0.0780639344544998,0.17618882961031893,0.3322263277516065,0.03600200692442273,0.2873307435767857,0.012165226677603079,0.11736430553812427,0.01967964258182669
LTE,0.054447649184239826,0.3904133511451156,0.39394274371317145,0.12764414976607447,0.1476618602220068,0.14419092168681744,0.033426431162663334,0.07164467160657866,0.15149378734181196,0.1605438413183677,0.027056684297611273,0.3919758523013296,0.018769338556204548,0.2216634507510289,0.08700113145982362
LCN,0.054447649184239826,0.355201286815931,0.41473483815369755,0.08209421227311074,0.10180045248520514,0.031379314169173805,0.023428232602577065,0.08931787605265108,0.30380562602473277,0.24779076600881889,0.03762323102161232,0.5159343144401775,0.018018954650390048,0.06810202619215633,0.04843958836319956
LAC,0.054447649184239826,0.3540503287650138,0.41493249690750206,0.0822547486812195,0.06971856023686249,0.030432373710378494,0.023391329228291367,0.08968549367063411,0.3205782894494169,0.24654083426535703,0.03756306566790455,0.5323478540096821,0.017660469005988062,0.06614741428809326,0.0332084137092837
TLA,0.054447649184239826,0.3539175781813205,0.41666945424811225,0.08049254820339237,0.09963071186554329,0.0311726082867335,0.023380547382387134,0.08716879666064614,0.30039919159583833,0.24799597797549844,0.03651335776719906,0.5177707124132623,0.01663663489988645,0.0677865420007319,0.047398630987513235
LDC,0.054447649184239826,0.4057647428327102,0.39312255598167717,0.08524083239486469,0.029018530384426658,0.02688029475025632,0.017022796198588524,0.08788396793913801,0.10791811924687872,0.3397908328600059,0.040699627155414426,0.3089204203568811,0.011255089434061895,0.07924327342961461,0.014254810885741513
LMY,0.054447649184239826,0.4142827799271999,0.4159190299342379,0.1346847172869725,0.26199697495850355,0.281940559350142,0.024669220145874422,0.07787359415231401,0.1636240309838725,0.1766504310782854,0.03201995601095028,0.33379626712258786,0.017231113644132455,0.5821448417921614,0.14666445239613232
LIC,0.054447649184239826,0.39319639270564166,0.4163152116306711,0.09089404915716175,0.022429056413889127,0.014102302098061957,0.014417424676412011,0.10041802717291012,0.26076580992052706,0.27956212197095415,0.0468107145204835,0.3194773953244409,0.06756178436899898,0.0486665870164581,0.012390127310151273
LMC,0.054447649184239826,0.45992960268137034,0.4497744063075905,0.20704904255186105,0.09345755799101603,0.10431414665305423,0.0199248361739508,0.07920882217274836,0.22112514344775883,0.2485625672835811,0.03458588656805482,0.2899908422472722,0.0254622613144859,0.264567866066296,0.05009262849555615
MEA,0.054447649184239826,0.2884698952297326,0.43030309243246784,0.06042622523736942,0.010339005634159557,0.01151429675098085,0.01587223628862149,0.06976330334884374,0.01910665879412518,0.3015037655921024,0.029023880345798166,0.01792790392377857,0.01256327214305766,0.03627960632151811,0.005125349557781189
MNA,0.054447649184239826,0.2620258132779612,0.42552667450329695,0.07495201236205973,0.007974960986883514,0.011307963405545268,0.015951256073696154,0.06940956781713956,0.04657619367045892,0.346456921080072,0.02912515600290262,0.021719061645052724,0.012457731983589229,0.03546194849212983,0.003946739009056441
TMN,0.054447649184239826,0.26172975961077033,0.42552667450329695,0.0748385190435462,0.007974960986883514,0.011307963405545268,0.015951256073696154,0.06940956781713956,0.04619817050505773,0.3463118825845934,0.02912515600290262,0.02172357064284978,0.012465229581957725,0.03546194849212983,0.003946739009056441
MIC,0.054447649184239826,0.41899696529465813,0.4166357525466539,0.14447493722825755,0.2395693853484942,0.26783825725208005,0.02560444082604879,0.07668203347312748,0.16263549813070785,0.17567386096423276,0.031270294446632436,0.33615058837786416,0.018343206246767125,0.5334782547757033,0.13427502098672855
NAC,0.054447649184239826,0.2968226327981154,0.5050246656889819,0.17607033707271644,0.05361499530533426,0.11043014449151789,0.04534533262799032,0.12096332140568274,0.16887476139363947,0.14844543667373306,0.05705629777784412,0.36043973687780256,0.025984250724748678,0.1259632122690779,0.02629751350256667
INX,0.054447649184239826,0.39996821882447287,0.3595329823585954,0.1766937014916139,0.02084958104470277,0.017185779554143913,0.02294499933295641,0.12483423344193753,0.26076580992052706,0.2710173248906021,0.058704070071158146,0.31678874616336394,0.06756178436899898,0.031184865471641936,0.011128494983842708
OED,0.054447649184239826,0.4307659782769961,0.42896904287408066,0.17476483016383568,0.35364292146676973,0.21195598684193764,0.041757322644965095,0.13414886380096633,0.12412155580739416,0.19728142073988056,0.06511831752966199,0.3122159254380943,0.02528716486497494,0.26212924669367366,0.18039939662652227
OSS,0.054447649184239826,0.44444825100955426,0.42267472145551793,0.021275308270624772,0.01747144924606227,0.0003424143721148976,0.010748459774081348,0.12807777006238516,0.053511529199260686,0.24889087454587985,0.06131862813153232,0.2808938263528305,0.014968653670873102,0.0015553817409936378,0.008289604749507126
PSS,0.054447649184239826,0.10683206694666857,0.3595329823585954,0.03373221424632403,0.0008948031293946774,1.1992853174884409e-05,0.02967977904084572,0.15871309138251746,0.9126640923121252,0.3775251678753771,0.07090337804016185,0.6222840044712512,0.04661211891136516,2.069875937039747e-05,0.00042452448837218624
PST,0.054447649184239826,0.4226314544497776,0.4311129426494047,0.1707850455043261,0.2861339482628788,0.19083135191574002,0.04465277151219032,0.1402083013638922,0.1089949129048512,0.19634488643911346,0.0681778627951342,0.3146849033982968,0.025259057940540883,0.22098749042919766,0.1482857449356106
PRE,0.054447649184239826,0.4093941152365981,0.3874875867237641,0.08354284618571836,0.020782131128182446,0.013850527043587477,0.011427828567441489,0.0742881860606265,0.11075004832800689,0.26668957715405206,0.03621135888336049,0.30141688191450333,0.008215665499092296,0.05943426545124509,0.009911809469677468
SST,0.054447649184239826,0.37355938463136973,0.4092844043056263,0.022646028644791705,0.01910112111922623,0.000564540093376386,0.015381997767190295,0.14608477352941984,0.06664058360100289,0.2530028224593062,0.06455490115369207,0.38503156755580575,0.02843522048895499,0.0018324626087107485,0.009062875641977644
SAS,0.054447649184239826,0.6284778102564784,0.47374011493700957,0.6200480598274412,0.033085587098855604,0.06721812690302124,0.01854783895928173,0.08978301284633425,0.27314332400607905,0.1980258715130569,0.03839626974529539,0.16692674568245214,0.03193709324095378,0.1825826335831385,0.01801512809750477
TSA,0.054447649184239826,0.6284778102564784,0.47374011493700957,0.6200480598274412,0.033085587098855604,0.06721812690302124,0.01854783895928173,0.08978301284633425,0.27314332400607905,0.1980258715130569,0.03839626974529539,0.16692674568245214,0.03193709324095378,0.1825826335831385,0.01801512809750477
SSF,0.054447649184239826,0.44356629619951393,0.3825306567191834,0.08223376182617155,0.03258281104956014,0.019922779458173744,0.013505573784339593,0.0773456053636652,0.1434353825613608,0.24021794940092192,0.03765615357420422,0.2985454509135152,0.005863982661572876,0.07311984932523036,0.015493659404206151
SSA,0.054447649184239826,0.4435726562997768,0.38249515762668196,0.08223478103803533,0.032533467344942536,0.019922779458173744,0.013505573784339593,0.07733949013031965,0.14225932943785022,0.24040379818602378,0.03765291604266767,0.29853385542258604,0.00585670938917613,0.07311984932523036,0.015470249102801254
TSS,0.054447649184239826,0.44356629619951393,0.3825306567191834,0.08223376182617155,0.03258281104956014,0.019922779458173744,0.013505573784339593,0.0773456053636652,0.1434353825613608,0.24021794940092192,0.03765615357420422,0.2985454509135152,0.005863982661572876,0.07311984932523036,0.015493659404206151
UMC,0.054447649184239826,0.382593601435359,0.3962266292681125,0.1212973120975486,0.14611181680493227,0.1635241105990258,0.031192327891763953,0.07499435373268536,0.16382811375989262,0.17554954926791,0.029318048859606698,0.35451670020239817,0.015844097206269423,0.2689103887094073,0.0841823874846922
WLD,0.054447649184239826,0.4144716937371199,0.4017287009281532,0.14230032103747997,0.7202879639735161,0.4793777186293719,0.030134114602528243,0.09241770732710751,0.14024116968555103,0.20220788354512523,0.04231166351784301,0.3215093462348458,0.01983459778404161,0.8152400778915996,0.3785124020754529
AFG,0.10260143862793049,0.6423707243124157,0.5262683756691603,0.1667693201149984,7.376229582485754e-06,0.0014447339840284396,0.017342303459289148,0.1648600070413401,0.40096026414979774,0.2603345106488972,0.06834505942649301,0.02090606903183995,0.06756178436899898,0.004184248939160511,4.350631291885487e-06
ALB,0.29906903778799215,0.4487095685201517,0.4157960259347646,0.2938919746201951,9.138504747400089e-05,0.0003124343679605707,0.031032175920930532,0.14440306112994977,0.06624295761110638,0.42311288170716976,0.04778000257178022,0.29105496449706936,0.08699585749677727,0.0005163600231364222,4.50533152999741e-05
