CountryCode,SH.DTH.COMM.ZS,SH.MLR.INCD.P3,SH.TBS.INCD,SP.DYN.LE00.IN
ARB,0.24476932845177035,0.02500708414178633,0.08103474763110988,0.7552599830001349
CSS,0.14665223215387868,0.02500708414178633,0.08103474763110988,0.7934960660196103
CEB,0.028504394198421677,0.02500708414178633,0.08103474763110988,0.8534719493540722
EAR,0.3203290253841897,0.016596796274386042,0.08103474763110988,0.7236213399425545
EAS,0.10825623621259986,0.003275822217843113,0.10913312693498452,0.831603437661253
EAP,0.1052376029304071,0.0032861270117422576,0.11842105263157894,0.8156135549388264
TEA,0.10474665578757303,0.0033300749900809076,0.08103474763110988,0.8164273673663534
EMU,0.04667048002946775,0.02500708414178633,0.08103474763110988,0.9460355759431719
ECS,0.05228073465742375,0.02500708414178633,0.030959752321981424,0.863820040164103
ECA,0.05677428388678697,0.02500708414178633,0.058823529411764705,0.7775795375573176
TEC,0.054835218200380516,0.02500708414178633,0.08103474763110988,0.7851967883539392
EUU,0.04607111204659162,0.02500708414178633,0.08103474763110988,0.9287757961839352
FCS,0.5731156302707949,0.10360128790988571,0.08103474763110988,0.5882860170051839
HPC,0.6608693680389974,0.11392209923980814,0.08103474763110988,0.5731883171214441
HIC,0.06697583284699006,0.02500708414178633,0.010835913312693499,0.9278360851755824
IBD,0.18138946886316515,0.008708528755853361,0.08103474763110988,0.7803905120647541
IBT,0.2942013548187458,0.054222056007866795,0.08103474763110988,0.7388624890373876
IDB,0.6455610247736956,0.12189654599866169,0.08103474763110988,0.576009795411654
IDX,0.5699221403145561,0.10172734528635555,0.08103474763110988,0.6243796027876919
IDA,0.5976141544604994,0.10888259008640148,0.08103474763110988,0.6084045081898225
LTE,0.0666330970015378,0.000529717224745305,0.08103474763110988,0.8345630963734767
LCN,0.15876454118352903,0.005759198105218783,0.032507739938080496,0.8293131952943685
LAC,0.16151208726350838,0.005759198105218783,0.033281733746130034,0.8266894056784237
TLA,0.1606386802939329,0.005759198105218783,0.08103474763110988,0.8272915996445821
LDC,0.5933646811054619,0.09557572547320045,0.08103474763110988,0.6199776026064767
LMY,0.29582663294292905,0.05403901945365606,0.13622291021671826,0.7379123141664824
LIC,0.6522895739832775,0.11128840375670994,0.19427244582043343,0.5797712108354389
LMC,0.3831642133118181,0.04742884948546531,0.18653250773993807,0.6927211837570107
MEA,0.14309147048016388,0.02500708414178633,0.027089783281733747,0.7954163599649364
MNA,0.14537799245795097,0.02500708414178633,0.029411764705882353,0.7859686426537563
TMN,0.14537799245795097,0.02500708414178633,0.08103474763110988,0.7858422320767451
MIC,0.24838096313011618,0.03768462714919753,0.13003095975232198,0.7554193030852802
NAC,0.05183452922038362,0.02500708414178633,0.0029411764705882353,0.9070925526981005
INX,0.23916701477168925,0.02500708414178633,0.08103474763110988,0.7240484786028535
OED,0.06784706564508555,0.02500708414178633,0.08103474763110988,0.9195213995352338
OSS,0.4989294420307161,0.02500708414178633,0.08103474763110988,0.6774862492183047
PSS,0.18068721756216516,0.02500708414178633,0.08103474763110988,0.7490775538039599
PST,0.06308407809091626,0.02500708414178633,0.08103474763110988,0.9262402224623305
PRE,0.7218175656869432,0.13838880148510915,0.08103474763110988,0.5360098784027592
SST,0.41657653165504127,0.02500708414178633,0.08103474763110988,0.7037559111275676
SAS,0.35068718494567486,0.009686417556945204,0.18111455108359134,0.7046164320579776
TSA,0.35068718494567486,0.009686417556945204,0.08103474763110988,0.7046164320579776
SSF,0.7142421833194258,0.1345732940182803,0.23529411764705882,0.539628576721776
