CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
ARB,0.0016473315102692077,0.638767844948677,0.026927138146464025,0.0275726722880569,0.017077920782624323,2.6444433946204447e-17,0.03575767429325938,0.3771530968864149,0.05047445649321009,0.010319423957862875
CSS,0.00016255709412045603,0.2605947155045277,0.026927138146464025,0.0007309741633551791,0.0011375853183426638,0.0019508874754208204,0.03575767429325938,0.1393910625467327,0.03235764363068634,0.0006653917790587975
CEB,0.012909571937690717,0.5618298795257994,0.016346943534186593,0.023417538219267616,0.03259897689268343,0.00367345169129349,0.008776135072176677,0.26490919098488724,0.0022219656311365217,0.024917304556311404
EAR,0.01610977824644271,0.20120396325312878,0.05821791726426221,0.17457665907081463,0.13297327577175133,0.13169213399920165,0.10390688852551011,0.3412700337315829,0.14276745828009088,0.07551450276441463
EAS,0.033484385905158294,0.17143588451454367,0.35218536587938537,0.18390135566009438,0.11975017060893409,0.10544219767241282,0.29460993735870294,0.26336850871769624,0.44332705057243416,0.09114326605446844
EAP,0.023598069036015825,0.1676128783737861,0.27732986983365476,0.15205628800316207,0.08785565406313725,0.10102207159859161,0.12702316404529837,0.28592728103055304,0.3581623266795584,0.063814157231719
TEA,0.023250468836274945,0.1640403951849414,0.2712046517559901,0.15018307865302102,0.08642710770201831,0.10102207159859161,0.1267826351793748,0.28694608578016956,0.3574841166939992,0.06205698388024262
EMU,0.07296966747535946,0.32071111133644514,0.09929458787544707,0.046244278999612434,0.08474189802604619,0.008163649114638271,0.049614992442526,0.09834781412984393,0.05545676130583865,0.06252761974895933
ECS,0.18144637414716094,0.45274826108599736,0.18519931013854884,0.15879518155293673,0.21501128765863162,0.058651050571018784,0.3719425075353648,0.15617759156248018,0.13725953789147383,0.1690843386865417
ECA,0.07506072341317506,0.5188412001494225,0.05381057311689696,0.07819061710766384,0.08762838251248545,0.04897557706493164,0.3091531382547111,0.19773001113119368,0.08338148849233765,0.0709184955483894
TEC,0.08334163237003599,0.5453215681513353,0.05623202424148977,0.09031600928553657,0.09899827090324907,0.049092546799604016,0.3090815171816843,0.20860033552785084,0.08279551411231183,0.07962785110124729
EUU,0.06529339891457091,0.39779522152512925,0.12979394062230873,0.08476521685604993,0.13388253205990727,0.008898309248505053,0.06837961733979052,0.13080168658040733,0.06177194711028788,0.10153914088579026
FCS,0.0009619546027526688,0.15975222578747666,0.026927138146464025,0.049553614846259766,0.08150473612589075,0.2719389497108113,0.03575767429325938,0.30521825062156355,0.03235764363068634,0.053786917365631494
HPC,0.000546511835762613,0.07002959023019639,0.026927138146464025,0.05527053412779493,0.11346929597906903,0.2659031687698659,0.03575767429325938,0.3179620724844996,0.03235764363068634,0.05419337122371945
