CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
AFG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ALB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ALB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DZA,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
DZA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ASM,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ASM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
AND,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
AND,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
AGO,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
AGO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ATG,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
ATG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ARG,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
ARG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ARM,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
ARM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ABW,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ABW,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
AUS,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
AUS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
AUT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
AUT,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
AZE,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
AZE,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BHS,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BHS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BHR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BHR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BGD,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
BGD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BRB,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
BRB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BLR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BLR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BEL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BEL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BLZ,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BLZ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BEN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BEN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BMU,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BMU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BTN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BTN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BOL,EN.CLC.DRSK.XQ,,,,,,,,2.25,,,,,
BOL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BIH,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BIH,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BWA,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
BWA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BRA,EN.CLC.DRSK.XQ,,,,,,,,4.5,,,,,
BRA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
VGB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
VGB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BRN,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
BRN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BGR,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
BGR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BFA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
BFA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
BDI,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
BDI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CPV,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
CPV,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KHM,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KHM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CMR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CMR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CAN,EN.CLC.DRSK.XQ,,,,,,,,4.25,,,,,
CAN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CYM,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
CYM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CAF,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CAF,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
TCD,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
TCD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CHI,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CHI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CHL,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
CHL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CHN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CHN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
COL,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
COL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
COM,EN.CLC.DRSK.XQ,,,,,,,,1.75,,,,,
COM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
COD,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
COD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
COG,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
COG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CRI,EN.CLC.DRSK.XQ,,,,,,,,4.5,,,,,
CRI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
